,reference,prediction,rouge1,rouge2,rougeL,bs_f1_raw,bs_f1_rescaled
25,"Kelly is scared of sculpture garden figures in Finnland, she finds figure's faces morbid. For Ollie it's Nagoro village in Japan, it's creepy. ",Kelly and Mickey are going to a sculpture garden in Finland. Ollie is going to Nagoro village in Japan.,44.44,18.6,40.0,90.59,44.27
26,Selah called a person that did not pick up.,Selah's phone number is off.,13.33,0.0,13.33,90.92,46.22
27,Bella and Eric dismissed a request of a client. Their boss appreciated the decision. He brings in new clients.,Eric and Bella discussed what happened in boss's room today. The boss appreciated the decision to dismiss the client's request.,48.78,15.38,24.39,91.51,49.67
28,Emma is about to take a nap in the back of the bus to New York. Ben and Emma will be there around 4.30 pm. Ben will wake Emma up 15 minutes prior to their arrival.,Emma is at the rare of the bus. They are going to arrive to NY around 4.30 PM. Emma will wake Ben up around 4.15 PM.,55.38,25.4,46.15,92.8,57.36
29,"Jesse, Melvin, Lee and Maxine are going to take part in the Christmas charity action of the foundation called Refuge, which helps women and children who escape from abuse.",Jesse wants to do something for the less fortunate this year. Maxine and Lee agree to chip in for the third one.,31.37,0.0,19.61,88.45,31.54
30,Mary ran out of money. Carter is going to lend her some in an hour.,Mary is at the train station and needs Carter to lend her a few boxes.,40.0,14.29,33.33,91.36,48.82
31,"Paula helped Charlotte with correct pronunciation of ""Natal lily"".",Charlotte asks Paula how to pronounce 'Natal lily'.,47.06,13.33,35.29,93.91,63.94
32,Jack and May will drink cocktails later.,Jack and May will have cocktails later today.,80.0,61.54,80.0,97.1,82.84
33,Margaret is suffering from a terrible headache and wants Jack to buy her some painkillers. ,Margaret is having a headache and wants Jack to buy her some painkiller.,78.57,61.54,78.57,98.5,91.1
34,Serge is on his way to pick up the film equipment for the shooting tonight. Andrei and Serge are late with a large payment to the company. Serge and Andrei will try to use the credit card to pay the company.,Serge didn't pick up the film equipment for tonight's shooting. He will let Andrei know if it works.,36.07,16.95,29.51,91.18,47.77
35,Martina advises against getting a hamster. ,Janice's son has asked her to get him a hamster for his birthday. Martina got one for her son and it stank up the whole house.,18.18,6.45,12.12,89.62,38.51
36,Mary has played DA Inquisition. Lucas has played DA II. Daniel started playing DA Inquisition.,"Daniel, Mary and Lucas are playing DA II.",52.17,19.05,34.78,91.08,47.17
37,Judy thinks she's always attracted to bad guys.,Judy is attracted to guys. Judy is attracted to Bruce and Andrew.,38.1,10.53,38.1,92.7,56.74
38,Riley and James watch Chloe on tv undergoing a metamorphosis.,Chloe is on tv.,42.86,16.67,42.86,90.0,40.76
39,Tina will catch the evening flight back home. Ala is on her way to the meeting. She will let Tina know how it went.,Tina's and Ala's Emirate staff looks amazing. They keep them one hour in the plane. Tina will catch the evening flight back home. Ala is on her way to a meeting.,59.65,47.27,52.63,90.01,40.8
40,"Sebastian is very happy with his life, and shares this happiness with Kevin.","Sebastian moved to a new place a year ago. He's learning how to be resourceful, he's learning responsibility and he has the power to make his dreams come true. He's happy to have someone he loves by his side.",14.55,0.0,10.91,89.61,38.42
41,Son is coming to see his parents' this weekend.,Frank wants Son to come home this weekend. Son's mother misses him and he misses her too. Son will try.,26.67,7.14,26.67,90.72,45.01
42,"Ola is in Cuba and is enjoying her trip. She has problems with connectivity there. Momo has recovered from her injury. Ola doesn't like the clothes in Cuba. Ola will try to find a blouse for mum in Cuba, as Kate suggested.","Ola and Kate are in Cuba. They have no connection to each other, but they are enjoying their trip. Momo has recovered from her injury and frolicing again.",39.44,17.39,30.99,90.47,43.52
43,Mike will ask Mary for John's new number.,Ann doesn't have John's new number.,47.06,40.0,47.06,94.78,69.05
44,Joseph has sent Ella a photo of Wujek Janek's twin baby cows. Ella is delighted.,Joseph sends Ella a photo of a baby cow.,48.0,26.09,48.0,92.94,58.15
45,Josh thinks Stephen accidentally took his notebook. Jack has it and will bring it tomorrow.,Stephen didn't take Josh's notebook home by accident. Jack will bring it tomorrow.,53.33,21.43,46.67,94.45,67.12
46,"Adele got a new biscuit Labrador Chewy that is 4 months. Her cats keep their distance, and Poppy and Lulu seem to mother Chewy and Speedy wants to play.","Adele got a new dog from the biscuit lab. It's 4 months old. The cats keep their distance, Poppy and Lulu seem to have a baby. Speedy wants to play.",66.67,48.28,66.67,93.93,64.06
47,Kristian and Tabora are playing a game about what they like best.,Tabora and Kristian are playing games.,55.56,12.5,33.33,93.75,62.95
48,Cathy will pick up her glasses tonight at 10.,Cathy left her sunglasses at Broke's. They are waiting for her to pick them up.,40.0,0.0,24.0,89.93,40.31
49,"Petra is very sleepy at work today, Andy finds the day boring, and Ezgi is working. ",Petra needs to sleep because she's too sleepy. Ezgi is working.,35.71,15.38,35.71,92.49,55.49
50,Nick finds Jane pretty and invites her for a drink to get to know her better. Jane rejects Nick and is unpleasant to him. Nick suggests Jane to forget about their conversation.,Nick wants to meet Jane for a drink.,30.0,10.53,25.0,91.1,47.25
51,"Julia knew Tim was gay, while Adam and Nate didn't. ",Adam's friend told Nate that he saw Tim with a guy.,26.09,0.0,17.39,90.63,44.5
52,Lilly will be late. Gabriel will order pasta with salmon and basil for her.,Lilly is going to be late. Lilly will order the food for Gabriel. They will order pasta with salmon and basil.,74.29,48.48,62.86,95.7,74.53
53,"Celine is not at home, but she will call Cara before visiting her.",Celine is not at home. She will drop by in the evening.,56.0,43.48,56.0,94.18,65.49
54,Derek will be at Craig's in 20 minutes to help him with his malfunctioning computer.,Craig needs help with his computer. Derek will get to his car in 20 minutes.,70.97,27.59,32.26,93.1,59.15
55,Abigail is not going to take a stroll with the little ones. Her smog alert app is showing that the norms have been exceeded by 30% today.,Abigail's smog alert app shows that the norms have been exceeded by 30% today.,61.9,50.0,61.9,94.79,69.1
56,Paul will buy red roses following Cindy's advice.,Paul wants to buy red roses.,53.33,30.77,53.33,95.28,72.03
57,Jenny has left her credit car at the Mary's shop.,Jenny left her credit card at Mary's shop.,80.0,44.44,80.0,93.62,62.21
58,It's Tom's birthday. Lara and Gary will come to Tom's place about 5 pm to prepare everything before Tom gets back home at 5:30. Gary has already paid for the cake - Lara will pick it up and she will also get the balloons. ,Gary and Lara are going to Tom's birthday party around 5 pm. Tom is supposed to be back home at 5:30. Lara will pick up the cake and get the balloons.,65.0,33.33,50.0,93.95,64.14
59,Paul is late for a meeting with Laura and she refuses to wait any longer.,Laura and Paul are going to meet in 15 minutes.,32.0,8.7,24.0,89.31,36.68
60,Salma and Hugh like cat memes.,Salma shares the latest cat meme with Hugh.,42.86,0.0,28.57,95.03,70.53
61,"Todays results show that Matt and Oliver got into Stanford University, Peter did not. ",The results should be announced soon. Peter didn't get into Stanford.,30.77,8.33,23.08,90.76,45.24
62,English classes were cancelled because Smith called in sick and replacement could not be found.,"Jake, Nadia and Vanessa don't have English today. Smith called in sick and couldn't find a replacement.",41.18,25.0,41.18,92.26,54.14
63,"Brandon has lost his credit card and blocked it in the bank. It will take some time before he gets a new one, and he needs money. Luke is broke, but Ian will lend Brandon some money.",Brandon lost his credit card. Luke broke his credit card. Ian will lend him $100.,38.46,20.0,38.46,91.23,48.02
64,Patrycja and Inez enjoyed the Italian evening. Gosia chose a great place. Alicja hasn't been to the new restaurant. They all want a Korean evening on Wednesday in two weeks time.,"Inez, Alicja, Gosia and Patrycja will go to the restaurant Inez sent on Wednesday.",43.48,9.09,30.43,88.26,30.41
65,Ana wants to visit grandma tomorrow. Catherine will go with her. She will call Anna when she wakes up.,Catherine doesn't want to go to visit her grandma tomorrow.,46.67,14.29,26.67,92.06,52.96
66,Edson is booking his ticket now.,Joyce sends a link to a cheap ticket for Edson.,25.0,0.0,12.5,91.69,50.74
67,Jane wants to leave at 4.30 instead of 5 because Google Maps suggests the 300 km drive should take them at least 3 hours and she doesn't want to be late. She will wait for Steven at the main entrance.,Jane and Steven will meet at the main entrance at 4:30.,40.74,19.23,25.93,89.42,37.34
68,Suzanne is at work and is having a break now. Morgan invites Suzanne to a concert of Maroon 5 which takes place next week at the Hulu Theatre at Madison Square Garden. Suzzanne agrees.,Suzanne is taking a break. Morgan and Suzanne miss each other. Morgan wants to go to Maroon 5 concert next week.,47.27,15.09,40.0,90.2,41.94
69,The last one Julia read was Die again from 2014. There's going to be a meeting with Tess organized by the city library. ,The city library is organizing a meeting with Tess.,42.42,32.26,30.3,92.7,56.72
70,Ali left his wallet at Mohammad's place. Mohammad'll bring it to uni tomorrow.,Ali left his wallet at Mohammad's place yesterday. Mohammad found it. Ali will bring it to the university tomorrow.,74.29,54.55,74.29,97.1,82.82
71,Linda and Laura are going to an Italian restaurant tomorrow.,Laura and Linda will go to an Italian restaurant tomorrow.,80.0,44.44,60.0,98.22,89.46
72,Anna organises a birthday's party on the 6th of November at 19:30.,"Natalie, Martin, Adam, Anna and Margot are going to celebrate Natalie's birthday on 6th of November at 1930.",51.43,24.24,45.71,89.4,37.21
73,"Mia is going out after work tonight with her female friends. If she wants, Elliot will come and pick her up.",Mia and Elliot are going out tonight after work. They will grab some drinks and have some time outside of work.,42.86,10.0,33.33,91.71,50.85
74,Jayden explains Brennan why she doesn't want to be pregnant.,Jayden wants to have children. Brennan wants to find a guy who can give her the sex she wants and not get pregnant.,29.41,0.0,23.53,89.7,38.94
75,USA won last night. England is playing against Croatia tomorrow at 2.,The USA won last night. England are playing tomorrow at 2:00.,75.0,54.55,75.0,96.88,81.48
76,John forgot his wallet. He wants Ela to give it to him outside in 10 minutes.,John is coming in 10 minutes. Ela forgot her walle. John wants her to keep it free.,54.55,12.9,30.3,90.96,46.46
77,Mark told his sister that Mary is doing an online job. Mark's sister is contacting people to confirm it. Mark thinks she's jealous. Mary hates Mark's sister.,Mary's sister tells Mark that she's doing an online job.,52.38,25.0,28.57,91.58,50.1
78,Fiona wants to prepare dinner for Chris. She is thinking of Tina's tart. She will help her make it.,Fiona is preparing a dinner for Chris. She will prepare a tart from Tina's.,62.86,30.3,40.0,94.58,67.88
79,Annette is sick. James is going to the Jesus bar. Oli couldn't find anyone near the bar.,"Peadar, Clare, Annette and Oli are meeting for a drink. They're going to Jesus bar from 9.15.",32.43,11.43,27.03,89.55,38.08
80,Ryan and Sebastian are worried about the political situation in Ukraine.,Ryan feels bad about Ukraine and hopes the leaders of nations will react to it.,38.46,0.0,23.08,91.79,51.38
81,Finn and Zadie are going to Elephant and Castle tomorrow at 2. They will meet at the main entrance.,Finn and Zadie are going to Elephant and Castle shopping centre tomorrow. They will meet at 2 o'clock at the unspecified main entrance.,88.37,68.29,79.07,95.79,75.08
82,Jacob hasn't listened to the song Harry sent him 3 days ago. Jacob will do it later tonight and let Harry know what he thinks.,Jacob forgot to listen to the song he sent Harry 3 days ago. He will talk to Harry later.,57.78,18.6,44.44,93.73,62.84
83,Ray is locked in the room from the outside and he has to pee. Max's roommate will come and let him out.,Someone locked the door in Max's room. He has to pee.,57.14,24.24,40.0,91.92,52.15
84,"Kim is about to tell mom that Harry bought a new sofa, and he needs grey pillows.",Harry will tell Kim what kind of gift she wants for her mom.,26.67,0.0,13.33,88.7,33.04
85,"Josh wants to buy a tablet and doesn't know which brand he should choose. According to Brian, other brands are better than Apple and he can get a Samsung tablet cheaper. Josh will call Brian after work to talk about it.","Josh wants to buy an iPad. Brian recommends Samsung, Xiaomi and Sony.",25.93,11.54,22.22,89.78,39.43
86,"Nathalie, Olafur and Zoe are planning the New Year's Eve. Nathalie wants something classy. Olafur doesn't like opera. They want to go to the Breakfast at Tiffany's party in Soho.","Olafur, Nathalie and Zoe are going to Soho for New Year's Eve. They are going to buy tickets for the club.",50.91,18.87,40.0,91.79,51.35
87,Frank tries to encourage Andy to learn for the tomorrow's quiz.,Andy is watching Arrow B. Frank will study for it tomorrow.,34.78,0.0,26.09,89.76,39.33
88,Kim needs to get some fresh fish in Warsaw. Kim will ask at restaurants about their source. Kim is planning something special but won't share any details with Margot for now.,Kim will cook ramal fish for Margot.,25.64,5.41,15.38,88.01,28.94
89,Tom will meet Ben in the Oval Room at 2pm and tells him to bring the papers. ,Tom and Ben will meet at 2 pm in the Oval Room.,80.0,42.86,46.67,94.26,65.96
90,Ashleigh got the job.,Ashleigh got a job and they are going to the cinema.,53.33,15.38,40.0,93.21,59.75
91,Danna has a boring weekend and is watching TV. Reed is in bed. He has a free day tomorrow.,Danna is angry because she called 5-8 of her friends on Saturday. She can't watch TV because her subscription expired and they haven't renewed it.,17.02,0.0,12.77,87.51,26.02
92,Alivia has been taciturn lately. She was trying to write her thesis. She can't focus on writing. She'll try to follow Antonio's advice to start writing without overthinking.,Alivia is working on her thesis. She finds the topic interesting and she doesn't mind reading articles and books.,27.45,8.16,19.61,89.23,36.2
93,Maddie will buy a white bread and apples on John's request.,Maddie is in Asda. John will prepare a white bread and apples for the gala.,59.26,32.0,51.85,93.11,59.15
94,"Elliot can't talk to Jordan now, he's busy. He'll call him back at 8 pm. Jordan is going to Brad's funeral. He had liver cancer.",Elliot can't talk because he's busy. Jordan's colleague Brad had a liver cancer and he's going to a funeral tonight. Elliot will call Jordan at 8 pm.,73.33,31.03,40.0,94.17,65.45
95,Flo cannot get an appointment at the salon until the 6th. Flo worries she's going to be gray. Flo will have to get a touch-up kit at Tesco.,Flo can't get into the salon until the 6th. Gina will get Flo a touch-up kit at Tesco.,65.38,40.0,61.54,94.49,67.38
96,"Rob is doing shopping at the grocery store. Ann ordered him to buy a cucumber, some tomatoes, bananas and apples.","Rob is at the grocery store. Ann can't pick up her phone because she's meeting. Rob and Ann will have something for supper and lunch tomorrow. They will have cucumber, tomatoes, bananas, apples and whatever they like.",40.68,21.05,37.29,90.93,46.28
97,It's been very long since Melany last had sex. Marvin made an inappropriate joke about it.,Marvin reminds Melany the last time she got laid.,23.08,0.0,15.38,90.05,41.05
98,"Eric, Samantha and Noah's professor is commenting a recent scandal on the news. ","Eric, Samantha and Noah are talking about the recent scandal.",58.33,36.36,50.0,93.36,60.67
99,"According to Jacky, David did the right thing taking the blame. They will talk when Jack comes back home.",Jacky was right about taking the blame yesterday. Jacky will call David when she gets home.,51.43,12.12,45.71,92.07,52.99
100,Rick and Helen are in Cancun. They're flying to Havana in two days. Chris and Rick will talk on Skype at 3 PM in Mexico.,Rick and Chris are in Cancun for the last two days before flying to Havana. Rick will join them in the lobby at 6:45 pm. Chris will talk to Rick tomorrow.,58.62,28.57,41.38,93.21,59.79
101,"Ying sent a photo of his 10 years challenge to Helen, Norma and Zazu.",Ying's 10-year-old challenge to everyone is amazing.,33.33,9.09,33.33,89.69,38.94
102,Daniel will see Missy after 6 for drinks.,Daniel and Missy are having drinks after dinner.,50.0,0.0,37.5,94.19,65.59
103,Adelle has to clean the hamster cage after school.,Pete cleaned the hamster cage after school.,62.5,57.14,62.5,96.76,80.79
104,Maya will buy 5 packs of earplugs for Randolph at the pharmacy.,Randolph will buy 5 earplugs for Maya in the pharmacy.,81.82,40.0,63.64,96.08,76.78
105,David is coming home for Christmas next week.  Jane has no idea what to buy their father so David is going to order an ipad online.,David will buy an iPad for his dad for Christmas. David will order it online and send it home.,44.44,9.3,26.67,90.94,46.31
106,"Isabella is grateful to Betty for sharing the information about her work yesterday. Isabella offers Betty her company, should Betty want to do something together.",Isabella liked Betty's work.,20.0,0.0,20.0,90.53,43.88
107,"Hollie says hello to Amy, but Amy is busy working and can't chat right now.",Amy is working now.,40.0,11.11,40.0,89.7,38.98
108,Alex will go swimming toghether with Huda in two hours. ,Alex will join Huda in swimming in 2 hours.,63.16,23.53,52.63,92.1,53.17
109,"Janet, Nicole, Alison, Arlene, Leslie, Ros, Eric and Sue are all complaining about Donald Trump and his absence at the ceremony. ",Janet is ashamed because Trump voted for her son.,13.33,0.0,13.33,87.37,25.17
110,Rashi is confused by too many career choices. Teacher advises him to choose something he has passion for and what interests him.,Teacher is confused about Rashi's career. Teacher advises her to choose a career that suits her interests.,45.0,15.79,40.0,94.0,64.45
111,Corbin reported to the department in charge of school violence that his friend has been beaten.,Corbin wants to report school violence at the Jungang high school. Corbin's friend is the victim of the violence. Corbin's friend is not hitting him anymore. Corbin will call Dimitri now.,28.57,4.26,24.49,89.36,36.97
112,"Marta needs help with the PC. On Joel's advice, she will contact Cynthia or Elena as they might know someone. ",Joel doesn't know a good technician who works in IT. Pablo is on vacation this week.,15.79,0.0,10.53,87.38,25.2
113,Ann doesn't know what she should give to her dad as a birthday gift. He's turning 50. Fiona tries to help her and suggests a paintball match.,Ann is preparing a surprise party for her dad's birthday. Fiona's dad doesn't like it. Ann's dad watches a lot of military movies. Ann's dad doesn't like the surprise party. Fiona's mum doesn't like the surprise party.,27.03,5.56,18.92,88.08,29.36
114,Fatima is worried about Jenson and Alene. Alene has issues. Lincoln doesn't want Fatima to worry about others too much.,Lincoln and Jenson will go to Alene's place.,33.33,0.0,13.33,90.26,42.31
115,"Bob is going to help Lisa clean the house, he will clean the bathroom. ",Lisa needs Bob to clean the house because it's dirty.,48.0,17.39,40.0,92.34,54.63
116,luke and martial want to help the team and play despite their injuries. They will meet at carrington and go to the coach's office.,"Luke, Martial and Jose are preparing for team selection tomorrow. They will meet at Carrington and go to his office early.",56.52,31.82,52.17,91.6,50.25
117,Emily and Julie wish Merry Christmas to each other.,Emily sends Julie a lot of kisses.,25.0,0.0,25.0,91.57,50.08
118,Ricky's new neighbours are nice but loud. They own a parakeet that makes a lot of noise throughout the night.,Frederick and Ricky like Frederick's new neighbours.,27.59,14.81,27.59,90.29,42.48
119,Sandra and Brenda used to work together in the clothes factory 25 years ago. Sandra still lives in Kings Norton. Brenda lives in Stoke now. Her husband Bill died 5 years ago. They will meet in Birmingham for a lunch next Saturday about 11. They want to organize a reunion for the Lister's girls. ,Sandra used to work together in the clothes factory. Brenda lives in Stoke now and lives in Kings Norton. Brenda's husband Bill died 5 years ago and she has only one grandchild. Brenda and Sandra will meet next Saturday at 11 and go for lunch and a trip down memory lane.,67.29,41.9,48.6,93.03,58.71
120,"Joan and John are going to watch ""A Star is Born"" on Thursday around 8 p.m.","John and Joan are going to see ""A Star is Born"" on Wednesday at 8 pm.",72.73,38.71,60.61,96.96,81.99
121,Donna will pay George a visit tonight to discuss a personal matter.,George and Donna will meet in a coffee shop tonight to discuss a sensitive issue.,59.26,32.0,51.85,93.74,62.89
122,Louis finishes the conversation with Fabian because his mother is calling.,Fabian's mom is calling Louis.,47.06,13.33,35.29,91.46,49.38
123,Irene will take Crystal's son shopping for clothes.,Irene is going shopping with her little boy. She will take him with her.,34.78,9.52,26.09,92.95,58.24
124,Tony sent a photo of his cat to Amy and Lucas.,Tony sends a photo of a cute little cat to Amy and Lucas.,75.0,54.55,75.0,97.22,83.52
125,"Matt got a ticket for Dawid Podsiadlo's concert. Thomas is going, too.",Matt got his ticket for Dawid Podsiadlo. Matt and Thomas are going with Maria.,59.26,32.0,59.26,95.01,70.46
126,Some girls had to undress because they had been pushed into the pool.,Chris pushed some girls into the pool.,60.0,33.33,50.0,93.13,59.32
127,Mico and Jeff will go to the village party. Jeff will drive.,"Jeff, Mico and Jim will go to the village party.",81.82,60.0,72.73,96.3,78.09
128,Paul can couch the game on Saturday as Matthew hasn't found anyone to do that yet. ,Paul is looking for someone to watch the game on Saturday.,42.86,23.08,35.71,90.84,45.73
129,Freddy will pick Luke up at about 3:15 pm.,Luke's train arrives at 3 pm. Fred will pick Luke up at 3:15.,64.0,43.48,56.0,94.95,70.11
130,Ryan and Jack are going to the casting for a dance show.,Jack is going to the casting. Ryan wants Jack to join him.,50.0,27.27,41.67,93.0,58.51
131,Joanne is going to go back home to France for the holidays. She's going to cheer her mum up because her parents separated a few months ago. Evelyn offers Joanne to spend Christmas together if she brings her mum over here. ,Joanne is going back home for the holidays. Her parents separated a few months ago. Joanne's mum left her dad for his secretary. Joanne's mum is devastated and she's going to cheer her up.,65.82,41.56,45.57,91.5,49.61
132,Raul's had a bad night and day. ,Raul has had a bad night. Jen had to go to a friend yesterday because she broke up with her boyfriend.,34.48,22.22,34.48,90.77,45.33
133,Angie's having an appointment with Doctor McCormick in an hour. She has strong abdominal pain.,Angie has a problem with her stomach. She will make an appointment with her doctor.,45.16,13.79,32.26,93.01,58.56
134,Kelvin and the other class members will discuss the time for their CAT 2 and share their decision with Naheeda soon.,Naheeda and Kelvin will sit for their CAT 2 during the statistics class.,58.82,18.75,35.29,90.33,42.7
135,"Karen wants something cheaper than sushi for lunch. Linda, Ronnie and Karen will get takeout pasta boxes to the park.","Linda, Ronnie and Karen are going to have lunch at a pasta joint next to their apartment. They will wait for Amanda.",42.86,15.0,28.57,90.29,42.48
136,Marty thinks she has sprained her ankle. Marty wants to go to the doctor tomorrow. Christine will pick up Marcel from school today. Tomorrow Christine will take Marcel to school and Marty to the doctor. Marty will call the school. Christine and Marty will meet around 4. ,Marty has sprained her ankle. Christine will pick up Marcel from school. Christine will take Marty to the doctor tomorrow morning.,58.82,48.48,55.88,93.61,62.15
137,Peyton is expecting Cameron to bring the video game. Cameron will probably be out for another week.,Cameron will bring the video game to Peyton's house.,59.26,32.0,37.04,90.88,45.97
138,Alicja's job interview is tomorrow. She will inform Willyx how it goes.,Alicja's job interview went well.,42.11,35.29,42.11,93.22,59.84
139,"Paul forgot about his physiotherapy and he will schedule a new appointment. Emma will be home after midnight, so Paul will prepare some food for her.",Paul forgot about his physiotherapy. He will schedule a new appointment. Emma will be home after midnight.,79.07,73.17,79.07,96.41,78.75
140,Sean overslept again.,Sean overslept.,80.0,66.67,80.0,98.14,88.96
141,Chris and Tom are planning a meeting at Chris' place. Chris has a Jacuzzi in his garden. Chris has WiFi and can bring his TV outside. Tom has a low internet limit whenever he's outside of Ireland.,"Chris, Tom and Chris are going to go to a jacuzzi in their garden. Chris and Tom will bring a TV from their living room.",47.62,16.39,34.92,91.22,48.0
142,Ela is not taking Harry's phone calls. Cindy calls Ela at Harry's request.,Harry wants Cindy to call Ela and tell her he needs to talk urgently.,20.69,0.0,20.69,89.52,37.9
143,"Mike didn't have time to take the dog for a walk, so Adam will take it with him.",Mike didn't take the dog for a walk. Adam will take the dog.,72.73,58.06,72.73,95.06,70.72
144,Murphy is going to Poanań on Tuesday and coming back on the same day in the afternoon.,Murphy is going to Poanań on Tuesday. He's coming back the same day in the afternoon.,88.24,75.0,88.24,98.54,91.36
145,Gaia has 6 exams this semestre. One is very difficult.,Gaia is doing fine at the university. She will have 6 exams this term.,41.67,18.18,33.33,92.26,54.16
