,reference,prediction,rouge1,rouge2,rougeL,bs_f1_raw
29,杰西、梅尔文、李和玛克辛将参加一个名为“避难所”的基金会举办的圣诞慈善活动，帮助那些逃离虐待的妇女和儿童。,杰西想为今年不幸的人做点什么,13.11,3.39,13.11,58.47
30,玛丽的钱用完了，卡特打算一小时后借给她一点。,玛丽在火车站 需要卡特借几箱给她,40.0,18.18,40.0,71.71
31,宝拉帮助夏洛蒂纠正了“natal lily”的发音。,"夏洛特问保拉怎么念""Natal Lily""",38.46,16.67,30.77,68.28
32,杰克和梅一会儿要喝鸡尾酒。,杰克和梅今天晚些时候会喝鸡尾酒,66.67,48.0,66.67,81.79
33,玛格丽特头疼得厉害，她想让杰克给她买些止痛片。,玛格丽特头痛 想让杰克给她买止痛药,75.68,62.86,75.68,88.13
34,瑟杰正在去取今晚拍摄用的电影设备的路上。他和安德烈迟迟未向公司支付大笔款项。两人会尝试用信用卡支付给公司。,Serge没有拿起今晚拍摄的电影设备 他会告诉Andrei如果它有效的话,31.58,18.92,28.95,64.5
35,玛蒂娜建议不要养仓鼠。,Janice的儿子叫她给他买只仓鼠做生日礼物 Martina给她儿子买了一只 整个房子都臭了,9.3,4.88,9.3,59.9
36,玛丽玩过《龙腾世纪3·审判》，卢卡斯玩过《龙腾世纪2》。丹尼尔开始玩《龙腾世纪3·审判》。,"丹尼尔,玛丽和卢卡斯 正在玩DA II。",37.5,21.74,25.0,69.13
37,朱迪觉得自己总是被坏男人吸引。,朱迪喜欢男人 朱迪喜欢布鲁斯和安德鲁,25.81,13.79,25.81,65.76
38,莱利和詹姆斯在电视上看到克洛伊经历了一次蜕变。,克洛伊在电视上,48.28,37.04,27.59,74.96
39,蒂娜将乘晚间航班回家。阿拉正在去开会的路上。她会让蒂娜知道事情的进展。,蒂娜和阿拉的酋长府工作人员看起来棒极了 他们把他们留在飞机上一小时,21.88,6.45,18.75,60.17
40,塞巴斯蒂安过得很开心，他和凯文分享了这份快乐。,"塞巴斯蒂安一年前搬到了一个新地方。他正在学习如何足智多谋,他正在学习责任,他有能力让梦想成真。他很高兴有他爱的人在他身边。",20.78,10.67,18.18,66.01
41,儿子这个周末要来看他父母。,"弗兰克想让儿子周末回家 儿子的母亲想念他,他也想念她",33.33,11.76,27.78,69.61
42,奥拉正在古巴享受自己的旅行，但是她在那儿的网络连接有点问题。莫莫已经伤愈。奥拉不喜欢古巴的衣服，但她会像凯特建议的那样，为妈妈在古巴找一件衬衫。,"奥拉和凯特在古巴,他们彼此没有联系,但他们正在享受旅途,莫莫再次从受伤和玩耍中恢复过来。",32.08,13.46,20.75,68.72
43,迈克会向玛丽要约翰的新号码。,安没有约翰的新号码,54.55,50.0,54.55,74.81
44,约瑟夫给艾拉发了一张乌耶克·雅内克家双胞胎奶牛的照片，艾拉很高兴。,Joseph给Ella寄了只婴儿奶牛的照片,32.56,19.51,32.56,67.84
45,乔希本以为是斯蒂芬不小心拿走了他的笔记本。但其实是杰克，明天他会把笔记本带过来。,Stephen没有不小心把Josh的笔记本带回家 Jack明天会带回来的,43.33,24.14,40.0,69.8
46,之前阿黛尔得到了一只新的可爱的拉布拉多狗，4个月大，名叫秋伊。她的猫咪们和她保持着距离，而小狗波比和露露都很像它们的妈妈秋伊和斯皮迪，都想出去玩。,Adele从饼干实验室买了一条新狗 已经4个月了 猫跟猫保持距离 鲍比和露露好像有孩子了,32.69,15.69,32.69,67.51
47,克里斯蒂安和塔博拉在玩一个关于他们自己最喜欢什么的游戏。,塔博拉和克里斯蒂安在玩游戏,65.0,42.11,45.0,78.98
48,凯茜今晚10点来取眼镜。,凯茜把她的太阳镜留在布洛克家了 他们在等她捡起来,24.24,6.45,18.18,64.96
49,佩特拉今天上班的时候很困，安迪觉得一天都很无聊，埃兹吉则在工作。,"佩特拉要睡觉,因为她太困了,艾兹吉在工作",42.55,22.22,38.3,74.49
50,尼克觉得简长得很漂亮，于是邀请她喝一杯，以便自己更好地了解她。但是简拒绝了他，这让他很不高兴。于是他建议简忘掉他们之间的谈话。,Nick想见Jane喝一杯,9.38,6.45,9.38,53.01
51,茱莉亚知道蒂姆是同性恋，但亚当和内特不知道。,亚当的朋友告诉内特 他看见提姆和一个男人在一起,28.57,10.0,19.05,66.62
52,莉莉要迟到了，盖布瑞尔会给她点三文鱼罗勒意面。,莉莉会迟到 莉莉会给加百利点菜,40.0,18.18,40.0,71.67
53,席琳不在家，但她会先打电话给卡拉再去看她。,Celine不在家 她晚上会过来,34.48,14.81,34.48,65.92
54,德里克20分钟后到克雷格家帮他处理电脑故障。,克雷格需要电脑帮助 德里克20分钟后就上车,66.67,48.65,35.9,77.92
55,艾比盖尔不会带孩子们一起出去散步，因为雾霾预警app显示，今天雾霾已超标30%。,Abigail的烟雾警报应用程序显示 今天超过标准30%。,34.62,12.0,34.62,68.09
56,保罗将按照辛迪的建议买红玫瑰。,保罗想买红玫瑰,57.14,42.11,57.14,77.6
57,詹妮把信用卡忘在玛丽的店里了。,Jenny把她的信用卡留在Mary的店里了,64.29,38.46,64.29,80.42
58,今天是汤姆的生日。劳拉和加里下午5点左右到他家，并在他5点半回家前准备好一切。加里已经付过蛋糕的钱了，劳拉将去取蛋糕，并且也会买气球。,Gary和Lara五点左右要去Tom的生日派对 Tom应该五点半回家,28.57,17.07,19.05,62.09
59,保罗和劳拉见面时迟到了，现在劳拉不想再等了。,劳拉和保罗15分钟后会见面,43.75,20.0,25.0,69.68
60,萨尔玛和休喜欢猫的表情包。,Salma和Hugh分享最新的猫咪,27.27,0.0,18.18,58.37
61,今天出结果了，马特和奥利弗都考进了斯坦福大学，彼得没有。,结果应该很快就会公布 彼得没上斯坦福大学,45.45,33.33,31.82,69.43
62,因为史密斯请了病假，又找不到人代课，所以英语课取消了。,Jake Nadia和Vanessa今天没有英语 Smith请了病假 找不到替补,40.91,28.57,31.82,65.24
63,布兰登的信用卡丢了，银行把账户冻结了。他得花点时间才能拿到新卡。但是他现在需要钱。卢克破产了，但伊恩会借给布兰登一些钱。,Brandon的信用卡丢失了 Luke的信用卡坏了 Ian会借他100美元,28.95,13.51,26.32,66.09
64,帕特里恰和伊内兹在意大利餐厅度过了一个愉快的夜晚。戈西亚选的地方不错。艾丽西娅还没去过那家新餐厅。他们都想在两周后的星期三晚上再去一家韩国餐厅。,Inez、Alicha、Gosia和Patrycja将前往星期三送来的Inez餐厅。,16.47,7.23,14.12,60.9
65,安娜明天想去看望奶奶。凯瑟琳会和她一起去。她起床后会给安娜打电话。,Catherine明天不想去看她奶奶,40.0,21.05,35.0,69.13
66,埃德森正在订票。,Joyce给Edson送了一张便宜的票,11.11,0.0,11.11,58.62
67,简想4点半就走，而不是等到5点，因为谷歌地图提示300公里的车程至少需要3小时，她不想迟到。她会在正门处等史蒂文。,简和史蒂文四点半在正门会合,31.75,16.39,19.05,65.35
68,苏珊一直在工作，现在刚休息一下。摩根邀请苏珊参加下周在麦迪逊广场花园hulu剧院举行的魔力红乐队音乐会。苏珊同意了。,摩根和苏珊互相怀念 摩根下周想去看马龙5号音乐会,24.32,13.89,24.32,65.81
69,茱莉亚读的最后一本书是2014版的《再死一次》。市图书馆会举办一个苔丝的见面会。,市图书馆正在组织与苔丝的会面,38.3,22.22,34.04,69.39
70,阿里把钱包落在默罕默德家，默罕默德明天会把它带过来。,阿里昨天把钱包留在Mohammad家 被Mohammad找到了 明天Ali会带去大学,45.83,17.39,45.83,71.05
71,琳达和劳拉明天要去一家意大利餐馆。,萝拉和琳达明天会去意大利餐厅,73.33,35.71,60.0,87.97
72,安娜办了一个生日派对，时间是11月6日19:30。,"Natalie, Martin, Adam, Anna和Margot 将于1930年11月6日庆祝Natalie的生日。",30.77,21.62,20.51,64.79
73,米娅今晚下班后要和她的女性朋友一起出去。如果她愿意，艾略特会来接她。,米娅和艾略特下班后要出去,55.81,34.15,37.21,75.21
74,杰登向布伦南解释了她为什么不想怀孕。,贾登想生孩子 Brennan想找一个男人给她她想要的性爱 而不是怀孕,27.91,4.88,23.26,62.24
75,美国昨晚赢了，英国明天2点和克罗地亚比赛。,美国昨晚赢了 英国明天两点要比赛,76.47,62.5,76.47,85.26
76,约翰忘了带钱包，他要艾拉10分钟内给他送过来。,John十分钟后就来了 Ela忘了她的墙 John要她留着它,30.0,10.53,15.0,65.69
77,马克告诉他妹妹，玛丽正在做一份线上的工作。他妹妹正在找人确认这件事。马克觉得她就是嫉妒。玛丽讨厌马克的妹妹。,玛丽的妹妹告诉马克 她在网上做工作,46.15,19.05,24.62,74.62
78,菲奥娜想为克里斯准备晚餐。她想起了蒂娜做的馅饼。蒂娜会帮她做的。,菲奥娜在为克里斯准备晚餐 她会从蒂娜那里准备一个小妞,55.56,42.31,51.85,77.82
79,安妮特病了。詹姆斯要去jesus酒吧。奥利在酒吧附近找不到人。,"Peadar, Clare, Annette和Oli正在开会喝酒 他们从9点15分到耶稣酒吧",21.28,4.44,12.77,59.69
80,瑞安和塞巴斯蒂安担心乌克兰的政治局势。,"瑞安对乌克兰感到难过, 希望各国领导人能对此作出反应。",23.81,15.0,23.81,67.74
81,费恩和查蒂明天2点去象堡，他们会在正门碰头。,"Finn和Zadie明天要去大象和城堡购物中心,他们将于下午2时在未指明的主要入口开会。",40.0,7.55,32.73,69.97
82,雅各布还没有听哈利3天前发给他的歌。他今晚晚些时候会听，然后告诉哈利他的看法。,Jacob忘了听三天前他给Harry的歌 他稍后会和Harry谈谈,35.71,11.11,28.57,68.65
83,雷被锁在房间里面了，但他要去尿尿。麦克斯的室友会来放他出去。,"有人锁了麦克斯房间的门,他要尿尿",57.14,25.0,33.33,75.58
84,金姆正要告诉妈妈，哈利买了一个新沙发，他需要灰色的枕头。,哈里会告诉金姆她想给妈妈什么礼物,34.15,15.38,19.51,67.85
85,乔什想买个平板，但不知道该选哪个牌子。按照布莱恩的说法，其他品牌比苹果更好，他能弄来更便宜的三星平板电脑。乔什下班后会给布莱恩打电话谈谈这事。,布莱恩推荐三星、小美和索尼,12.99,8.0,12.99,60.73
86,娜塔莉、奥拉维尔和佐伊正在做新年前夜的计划。娜塔莉想要有格调的。但奥拉维尔不喜欢歌剧。他们想去苏豪区蒂芙尼的聚会上吃早餐。,"Olafur,Nathalie和Zoe要到Soho去过新年,他们要买俱乐部的票",21.05,5.41,15.79,60.64
87,弗兰克试图激励安迪，为明天的测验学习。,Andy在看Arrow B 明天Frank会研究的,20.69,7.41,20.69,56.66
88,金需要在华沙弄些新鲜的鱼。他会到餐厅打听货源。他在计划一些特别的事情，但暂时不会与玛戈特分享任何细节。,金会为玛歌做拉面鱼,14.29,0.0,10.71,58.46
89,汤姆下午2点会在椭圆形会议室与本会面。他会先告诉对方把文件带来。,汤姆和本将于下午2时在奥瓦尔厅会面,38.3,17.78,34.04,71.2
90,阿什丽得到了这份工作。,阿什利找了份工作 他们要去电影院,48.0,26.09,48.0,74.25
91,丹娜度过了一个无聊的周末，现在正在看电视。里德在床上躺着。他明天有空。,"Danna很生气,因为她周六给五到八位朋友打电话,",8.0,0.0,8.0,57.71
92,艾丽维亚最近很沉默。她在写论文，但是没法集中精神。她会试着按照安东尼奥的建议，先不多想，动笔写起来。,Alivia正在研究她的论文 她觉得这个话题很有趣 她不介意看文章和书,22.22,2.86,13.89,60.7
93,麦蒂会按照约翰的要求买一个白面包和苹果。,"玛蒂在阿斯达,约翰会为晚会准备白面包和苹果",51.28,32.43,46.15,75.12
94,艾略特现在没空和乔丹说话，他很忙。晚上6点他会给乔丹回电话。乔丹要去参加布拉德的葬礼，布拉德因肝癌去世了。,乔丹的同事布拉德得了肝癌 他今晚要去参加葬礼 艾略特晚上8点会打电话给乔丹,67.47,34.57,26.51,78.0
95,弗洛要到6号才能预约到做头发。她担心自己头发会变成灰色，所以必须在特易购买一套补色工具。,吉娜会在特斯科给弗洛买个触摸器,21.43,7.41,14.29,63.56
96,罗伯正在杂货店买东西。安让他买一根黄瓜、一些西红柿、香蕉和苹果。,"罗布在杂货店,安不能接她的电话,因为她要开会。罗布和安明天有晚餐和午餐。他们有黄瓜、西红柿、香蕉、苹果和任何他们喜欢的东西。",46.34,25.0,39.02,76.18
97,梅兰妮很久没有性生活了。马文开了个不恰当的玩笑。,马文提醒Melany她上次上床的时候,17.14,6.06,17.14,62.21
98,埃里克、萨曼莎和诺亚的教授正在点评最近新闻里报道的一桩丑闻。,"埃里克,萨曼莎和诺亚正在谈论 最近丑闻。",66.67,51.16,66.67,85.76
99,根据杰克所说，理应由大卫承担责任。等杰克回家后他们再谈。,Jacky昨天负责是对的 Jacky回家后会打电话给David,18.6,9.76,18.6,60.49
100,里克和海伦人在坎昆，两天后飞往哈瓦那。克里斯和里克会在墨西哥的下午3点通过skype聊天。,瑞克和克里斯在去哈瓦那前两天在坎昆 6点45分会和他们一起到大厅去 克里斯明天会和瑞克谈谈,50.0,20.51,27.5,72.4
101,英把自己十年挑战的照片发给了海伦、诺玛和扎祖 。,英哥对每个人的十年挑战 实在是太惊人了,35.9,16.22,30.77,62.07
102,丹尼尔六点后会去找米茜喝酒。,丹尼尔和米西晚饭后一起喝酒,53.85,25.0,46.15,77.27
103,阿黛尔放学后得打扫仓鼠笼。,Pete放学后清理仓鼠笼子,54.55,40.0,54.55,79.71
104,玛雅会在药房为伦道夫买5包耳塞。,兰道夫会在药店为玛雅买5个耳塞,80.0,42.86,53.33,89.04
105,大卫下周回家过圣诞节。简不知道给父亲买什么。所以大卫打算在网上订购一个ipad。,大卫会给他爸爸买一台iPad 圣诞礼物 大卫会在线订的 然后送回家,45.9,13.56,26.23,69.94
106,伊莎贝拉非常感谢贝蒂昨天和她分享工作信息。如果贝蒂想和她共事的话，她会给贝蒂发自己公司的邀约。,伊莎贝拉喜欢贝蒂的工作,32.73,18.87,29.09,70.7
107,霍莉和艾米打招呼，但是艾米工作很忙，现在没有时间聊天。,Amy现在工作了,26.67,14.29,13.33,59.51
108,亚历克斯会在两小时内和胡达一起去游泳。,亚历克斯会和胡达一起在两小时内游泳,97.14,78.79,68.57,92.72
109,珍妮特、妮可、艾莉森、阿琳、莱斯利、罗斯、埃里克和苏都在抱怨唐纳德 · 特朗普和他在典礼上的缺席。,珍妮特感到羞耻 因为特朗普投了她儿子的票,24.14,14.29,24.14,63.96
110,职业选择太多，让拉什很困扰。老师建议他选择自己感兴趣的东西。,"老师对Rashi的事业感到困惑,老师建议她选择适合她兴趣的职业。",49.06,27.45,41.51,78.56
111,科尔宾向负责校园暴力的部门报告说，他的朋友遭到了殴打。,Corbin的朋友是暴力的受害者。Corbin的朋友不再打他了。Corbin现在会打电话给Dimitri。,33.33,15.38,29.63,65.06
112,玛尔塔的电脑该修了。在乔尔的建议下，她会和辛西娅或着艾琳娜联系，因为他们可能认识修电脑的人。,Joel不认识一个在IT公司工作的好技师 Pablo这周休假,12.7,3.28,9.52,56.35
113,快到爸爸50岁生日了，安还不知道该给爸爸送什么生日礼物。菲奥娜设法帮她，向她推荐了彩弹射击比赛。,菲奥娜的爸爸看了很多军事电影 安的爸爸不喜欢惊喜派对 菲奥娜的妈妈不喜欢惊喜派对,24.69,10.13,22.22,60.49
114,法蒂玛很担心詹森和艾琳。艾琳遇上了一些问题。但林肯不希望法蒂玛为别人操心太多。,林肯和詹森会去艾琳家,30.43,13.64,17.39,68.0
115,鲍勃会帮助丽莎打扫房子，他负责浴室那部分。,"丽莎需要鲍勃清理房子,因为它是肮脏的。",33.33,17.65,22.22,75.48
116,尽管都受伤了，但卢克和马蒂奇还是想帮助球队。他们会在卡林顿碰头，然后去教练办公室。,卢克、马提尔和何塞正在准备明天的团队选拔 他们将在卡林顿开会 提前去他的办公室,43.84,19.72,38.36,70.63
117,艾米丽和朱莉互祝对方圣诞快乐。,艾米莉给朱莉送了很多吻,32.0,17.39,32.0,73.38
118,瑞奇的新邻居人很好，但是太吵了。他们养了一只鹦鹉，整晚都很吵。,Frederick和Ricky就像Frederick的新邻居一样,25.64,16.22,25.64,59.76
119,桑德拉和布伦达25年前曾在服装厂一起工作。桑德拉还住在金斯诺顿，布伦达现在住在斯托克。她丈夫比尔五年前去世了。他们下周六11点左右在伯明翰见面吃午餐。他们想组织一次李斯特女子重逢会。,"布伦达的丈夫比尔5年前去世了,她只有一个孙子。布伦达和桑德拉将在下星期六11点见面,并去吃午餐和旅行。",49.61,28.35,32.56,76.2
120,琼和约翰星期四晚上8点左右去看《一个明星的诞生》。,"周三晚上8点,约翰和琼会去看《星诞生》",68.42,33.33,47.37,81.99
121,唐娜今晚会去拜访乔治，讨论一件私事。,乔治和唐娜今晚会在咖啡店见面 讨论一个敏感问题,52.63,38.89,42.11,77.39
122,路易斯和法比安谈话结束了，因为接到了妈妈的电话。,费比安的妈妈在给路易打电话,51.43,24.24,34.29,72.24
123,艾琳会带克里斯特尔的儿子去买衣服。,艾琳要和她的小儿子去购物 她会带他一起走,45.71,24.24,34.29,76.1
124,托尼把他家猫咪的照片发给了艾米和卢卡斯。,Tony给Amy和Lucas发了张可爱小猫的照片,47.06,12.5,23.53,67.67
125,马特买了一张大卫·波西亚德洛音乐会的票，托马斯也要去。,Matt拿到了去Dawid Podsiadlo的票 马特和Thomas要和Maria一起去,37.21,9.76,27.91,63.29
126,有些女孩因为被推进了泳池，不得不把衣服脱掉。,克里斯把一些女孩推进游泳池,48.48,25.81,42.42,74.09
127,米科和杰夫要去参加村里的聚会，杰夫开车。,"杰夫,米可和吉姆会去村里参加派对",60.61,19.35,30.3,79.13
128,保罗可以担任周六比赛的教练，因为马修还没有找到合适的人选。,保罗在周六找人看比赛,43.24,17.14,32.43,68.94
129,佛莱迪下午3点15分左右来接卢克。,路克的火车下午3点到达 弗雷德3点15分会接卢克,48.65,40.0,48.65,77.97
130,瑞安和杰克要去参加一个舞蹈表演的选角。,杰克要选手了 瑞安想让杰克加入他,42.42,19.35,30.3,69.58
131,乔安妮准备回法国老家度假。她想让妈妈重新高兴起来，因为她的父母几个月前分居了。伊夫林向乔安妮提出，如果她把妈妈带到这里来，就可以一起过圣诞节。,"Joanne的妈妈为了秘书离开了父亲 乔安妮的妈妈很伤心,她会让她开心起来的",33.33,10.64,20.83,65.44
132,劳尔的日子不好过。,简昨天不得不去找朋友 因为她和她男朋友分手了,6.9,0.0,6.9,53.46
133,因为腹部剧烈疼痛，安琪一小时后要去见麦考密克医生。,安琪胃有问题 她会和医生预约的,21.62,11.43,21.62,63.9
134,开尔文要和其他同学讨论cat 2的时间，随后很快就把他们的决定告诉纳希达。,Naheeda和Kelvin将在统计课上参加他们的CAT2。,25.0,13.04,16.67,58.17
135,凯伦想要比寿司更便宜的午餐。琳达、罗尼和凯伦会带盒装的外卖意大利面去公园。,"琳达,罗尼和凯伦要去他们公寓旁边的意大利面店吃午餐 他们会等阿曼达",55.38,31.75,36.92,72.64
136,马蒂觉得自己扭伤了脚踝，所以明天要去看医生。克里斯汀今天会去学校接马塞尔。明天克里斯汀会送马塞尔去学校，带马蒂看医生。马蒂会打电话给学校。克里斯汀和马蒂4点左右碰面。,克里斯蒂娜明天早上会带马蒂去看医生,30.11,17.58,25.81,72.8
137,佩顿希望卡梅隆能带游戏机过来，但是卡梅隆可能还要再缺席一周。,卡梅伦会把游戏带去佩顿家,35.0,15.79,20.0,69.14
138,爱丽丝的求职面试就在明天，她会把进展情况告诉威利克斯的。,Alicja的工作面试很顺利,22.86,6.06,22.86,61.59
139,保罗忘记去做理疗了，得重新预约。艾玛午夜后回家，所以保罗会给她准备一些吃的。,保罗忘了他的理疗 他将安排新的约会 艾玛午夜后会回家,58.62,28.57,48.28,73.73
140,肖恩又睡过头了。,肖恩睡过头了,92.31,72.73,92.31,91.42
141,克里斯和汤姆计划在克里斯家见面。克里斯的花园里有个按摩浴缸。克里斯有wifi，可以把电视带到外面看。汤姆在爱尔兰以外的地方都没什么上网的限制。,"克里斯,汤姆和克里斯要去他们的花园的按摩浴缸 克里斯和汤姆会从他们的客厅带电视来",51.49,34.34,41.58,73.22
142,艾拉没有接哈利的电话。在哈利的请求下，辛迪给艾拉打了电话。,哈利要辛蒂给伊拉打电话 告诉她他需要紧急谈话,38.3,13.33,34.04,69.61
143,迈克没时间遛狗，所以由亚当去。,迈克没有带狗去散步 亚当会带狗去,50.0,23.08,50.0,74.49
144,墨菲星期二去波南，当天下午回来。,墨菲星期二要去波阿南 他下午同一天回来,81.25,46.67,75.0,84.31
145,盖亚这个学期有六门考试，其中一门非常难。,"盖娅在大学很好,这学期她有6次考试",41.18,12.5,41.18,74.68
146,威廉斯先生邀请布莱尔女士喝咖啡。他们下午2点去布莱尔最喜欢的咖啡店，就在广场附近的小巷里。,Williams先生和Blair女士将于下午2时在广场附近的一旁小巷碰面喝咖啡。,51.43,35.29,42.86,76.01
147,现在瑟琳娜的皮肤状况已经很好了，不用再吃药。蒂娜也有类似的情况，但每天都要服药。如果她有问题，可以打电话给瑟琳娜。,杰夫最近没去看医生 也不一定要吃药,14.93,3.08,8.96,61.09
148,克里斯蒂娜、埃斯特凡尼亚和珍妮特正在看《全美超模大赛》。,克里斯蒂娜正在电视上观看 泰拉班克斯的新赛季,44.44,23.26,40.0,70.37
149,丹尼尔今天要去博洛尼亚。他得在那里转机。他会在机场停留两小时。西蒙尼将在12月拜访马可。,丹尼尔今年秋天飞往博洛尼亚 他会在机场待两个小时 Simone12月会来博洛尼亚度周末,54.05,36.11,51.35,78.25
150,迈克两小时后给戴尔回电话。,麦克会在两小时内给戴尔回电话,76.92,58.33,76.92,86.42
151,蒂米今天工作不顺利。周末到杰玛家烧烤的时候他会带些酒过去。,Gemma周末要举办烧烤会 她会带些酒和食物来,35.56,23.26,35.56,71.07
152,帕特晚上9点左右到。巴特会给他开门，早上从家里去上班。,帕特今天没赶上火车 但她还有另一个项目要完成 她明天早上会到 巴特会为帕特开门 帕特是个画家,36.36,18.75,30.3,67.01
