model,metric,score,spearman_corr
aya32b,evidence_similarity,informativeness,-0.2944177992675629
aya32b,evidence_similarity,clarity,-0.0566384327880407
aya32b,evidence_similarity,plausibility,-0.07735483252853126
aya32b,evidence_similarity,faithfulness,-0.1926727227095871
aya32b,final_outcome_similarity,informativeness,-0.37642857142857145
aya32b,final_outcome_similarity,clarity,0.010408163265306122
aya32b,final_outcome_similarity,plausibility,-0.09193877551020409
aya32b,final_outcome_similarity,faithfulness,-0.37948979591836735
aya32b,actor_null_rate,informativeness,-0.03329821777066255
aya32b,actor_null_rate,clarity,-0.1787890221770629
aya32b,actor_null_rate,plausibility,-0.19129539504867327
aya32b,actor_null_rate,faithfulness,-0.1340266292740909
aya32b,action_null_rate,informativeness,-0.19900495525936684
aya32b,action_null_rate,clarity,-0.04094536140920763
aya32b,action_null_rate,plausibility,-0.06435770908678021
aya32b,action_null_rate,faithfulness,-0.12126126263496106
aya32b,object_null_rate,informativeness,-0.061517502964828046
aya32b,object_null_rate,clarity,0.0007298686792437225
aya32b,object_null_rate,plausibility,-0.03023741671152565
aya32b,object_null_rate,faithfulness,0.003857877304573962
aya32b,recipient_null_rate,informativeness,-0.16791512356486687
aya32b,recipient_null_rate,clarity,0.05687791645832157
aya32b,recipient_null_rate,plausibility,0.01151417990159087
aya32b,recipient_null_rate,faithfulness,-0.07963974431933686
aya32b,selected_event_count,informativeness,0.08574560831197449
aya32b,selected_event_count,clarity,0.025491937606262685
aya32b,selected_event_count,plausibility,0.05446004852247028
aya32b,selected_event_count,faithfulness,-0.046348977465932154
gemma27b,participant_f1,informativeness,0.16789540016977156
gemma27b,participant_f1,clarity,-0.10405610266335842
gemma27b,participant_f1,plausibility,-0.10522746592035682
gemma27b,participant_f1,faithfulness,0.11323178150984593
gemma27b,event_coverage,informativeness,0.2622920679498801
gemma27b,event_coverage,clarity,0.017239506863842614
gemma27b,event_coverage,plausibility,-0.004883293789757993
gemma27b,event_coverage,faithfulness,0.21456896954997243
gemma27b,extra_event_rate,informativeness,0.09894277534729283
gemma27b,extra_event_rate,clarity,-0.04630434519564256
gemma27b,extra_event_rate,plausibility,-0.0225697280041654
gemma27b,extra_event_rate,faithfulness,-0.04331931665315617
gemma27b,event_count_diff,informativeness,0.28856054814720733
gemma27b,event_count_diff,clarity,0.012736057039086389
gemma27b,event_count_diff,plausibility,0.009848230152316801
gemma27b,event_count_diff,faithfulness,0.09811206730691549
gemma27b,omitted_ref_event_count,informativeness,-0.22745317617708996
gemma27b,omitted_ref_event_count,clarity,-0.04549063523541799
gemma27b,omitted_ref_event_count,plausibility,0.0050207055610996445
gemma27b,omitted_ref_event_count,faithfulness,-0.18515753538964447
gemma27b,extra_model_event_count,informativeness,0.1416120225422215
gemma27b,extra_model_event_count,clarity,-0.04448740940476335
gemma27b,extra_model_event_count,plausibility,-0.012411613380152465
gemma27b,extra_model_event_count,faithfulness,-0.04845015343577589
gemma27b,speech_act_category_accuracy,informativeness,0.06547146152621618
gemma27b,speech_act_category_accuracy,clarity,-0.0013507461722641687
gemma27b,speech_act_category_accuracy,plausibility,0.027730024360011464
gemma27b,speech_act_category_accuracy,faithfulness,0.09439332074410779
gemma27b,intended_meaning_similarity,informativeness,0.16777408637873753
gemma27b,intended_meaning_similarity,clarity,0.15856236786469344
gemma27b,intended_meaning_similarity,plausibility,0.21066143159166414
gemma27b,intended_meaning_similarity,faithfulness,0.3456659619450317
gemma27b,action_similarity,informativeness,-0.15764627262235434
gemma27b,action_similarity,clarity,0.15605999005164545
gemma27b,action_similarity,plausibility,0.1375533600600418
gemma27b,action_similarity,faithfulness,0.1111908544801656
gemma27b,evidence_similarity,informativeness,-0.19192993238171677
gemma27b,evidence_similarity,clarity,0.1165180928081131
gemma27b,evidence_similarity,plausibility,0.033096578891020446
gemma27b,evidence_similarity,faithfulness,0.07254044688442839
gemma27b,final_outcome_similarity,informativeness,-0.11825229034531361
gemma27b,final_outcome_similarity,clarity,0.30260747004933053
gemma27b,final_outcome_similarity,plausibility,0.19097956307258632
gemma27b,final_outcome_similarity,faithfulness,0.00408738548273432
gemma27b,actor_null_rate,informativeness,0.13000053967009767
gemma27b,actor_null_rate,clarity,-0.009967552749234259
gemma27b,actor_null_rate,plausibility,-0.03412619754822577
gemma27b,actor_null_rate,faithfulness,-0.018330160564269782
gemma27b,action_null_rate,informativeness,
gemma27b,action_null_rate,clarity,
gemma27b,action_null_rate,plausibility,
gemma27b,action_null_rate,faithfulness,
gemma27b,object_null_rate,informativeness,0.3973012094383583
gemma27b,object_null_rate,clarity,0.0863448244664422
gemma27b,object_null_rate,plausibility,0.040009447683308615
gemma27b,object_null_rate,faithfulness,0.10458321745554798
gemma27b,recipient_null_rate,informativeness,0.4323647579895624
gemma27b,recipient_null_rate,clarity,-0.18180363055248722
gemma27b,recipient_null_rate,plausibility,-0.12691182105862275
gemma27b,recipient_null_rate,faithfulness,0.11190425352983958
gemma27b,selected_event_count,informativeness,0.2817450924390117
gemma27b,selected_event_count,clarity,-0.0795980317839332
gemma27b,selected_event_count,plausibility,-0.030763336465596147
gemma27b,selected_event_count,faithfulness,0.03446166106801754
qwen27b,participant_f1,informativeness,0.24253562503633294
qwen27b,participant_f1,clarity,-0.12374266583486375
qwen27b,participant_f1,plausibility,-0.15344090563523105
qwen27b,participant_f1,faithfulness,0.12374266583486375
qwen27b,event_coverage,informativeness,0.29328538734465176
qwen27b,event_coverage,clarity,-0.06136187941370019
qwen27b,event_coverage,plausibility,-0.11370775234483424
qwen27b,event_coverage,faithfulness,0.09562270404745156
qwen27b,extra_event_rate,informativeness,-0.05362184588974742
qwen27b,extra_event_rate,clarity,-0.23033909712493691
qwen27b,extra_event_rate,plausibility,-0.20754002761342022
qwen27b,extra_event_rate,faithfulness,-0.3123863923412749
qwen27b,event_count_diff,informativeness,0.397722506012261
qwen27b,event_count_diff,clarity,-0.34193617576786556
qwen27b,event_count_diff,plausibility,-0.3737993477558844
qwen27b,event_count_diff,faithfulness,-0.18891045657621522
qwen27b,omitted_ref_event_count,informativeness,-0.2772962185067936
qwen27b,omitted_ref_event_count,clarity,0.06638270703841108
qwen27b,omitted_ref_event_count,plausibility,0.12094605404315384
qwen27b,omitted_ref_event_count,faithfulness,-0.09531045579661299
qwen27b,extra_model_event_count,informativeness,0.07845722895239594
qwen27b,extra_model_event_count,clarity,-0.2627151963534684
qwen27b,extra_model_event_count,plausibility,-0.2528756758907917
qwen27b,extra_model_event_count,faithfulness,-0.33376689148395505
qwen27b,speech_act_category_accuracy,informativeness,-0.028090683489793464
qwen27b,speech_act_category_accuracy,clarity,-0.06883706360484723
qwen27b,speech_act_category_accuracy,plausibility,-0.05950658923014552
qwen27b,speech_act_category_accuracy,faithfulness,-0.02774327220988436
qwen27b,intended_meaning_similarity,informativeness,0.002737094837935174
qwen27b,intended_meaning_similarity,clarity,0.24004801920768307
qwen27b,intended_meaning_similarity,plausibility,0.2670348139255702
qwen27b,intended_meaning_similarity,faithfulness,0.25013205282112844
qwen27b,action_similarity,informativeness,-0.13344625898015763
qwen27b,action_similarity,clarity,0.20433506923594688
qwen27b,action_similarity,plausibility,0.2073208751026989
qwen27b,action_similarity,faithfulness,0.13440942216298085
qwen27b,evidence_similarity,informativeness,-0.17567278329897312
qwen27b,evidence_similarity,clarity,0.018139862860507495
qwen27b,evidence_similarity,plausibility,-0.010152549240230986
qwen27b,evidence_similarity,faithfulness,0.00798731362027651
qwen27b,final_outcome_similarity,informativeness,0.021944777911164465
qwen27b,final_outcome_similarity,clarity,0.2779831932773109
qwen27b,final_outcome_similarity,plausibility,0.19779111644657862
qwen27b,final_outcome_similarity,faithfulness,0.1578391356542617
qwen27b,actor_null_rate,informativeness,0.17074928295440692
qwen27b,actor_null_rate,clarity,-0.30985782898101183
qwen27b,actor_null_rate,plausibility,-0.2957440308761905
qwen27b,actor_null_rate,faithfulness,-0.17333220025463567
qwen27b,action_null_rate,informativeness,
qwen27b,action_null_rate,clarity,
qwen27b,action_null_rate,plausibility,
qwen27b,action_null_rate,faithfulness,
qwen27b,object_null_rate,informativeness,-0.14669645703713988
qwen27b,object_null_rate,clarity,-0.00840281411100364
qwen27b,object_null_rate,plausibility,-0.059845996683712946
qwen27b,object_null_rate,faithfulness,-0.06555477878966198
qwen27b,recipient_null_rate,informativeness,-0.04894863608613483
qwen27b,recipient_null_rate,clarity,-0.26065402073196436
qwen27b,recipient_null_rate,plausibility,-0.20222982051735416
qwen27b,recipient_null_rate,faithfulness,-0.27195375763383606
qwen27b,selected_event_count,informativeness,0.05251924418979638
qwen27b,selected_event_count,clarity,0.19038226018801188
qwen27b,selected_event_count,plausibility,0.148675801566703
qwen27b,selected_event_count,faithfulness,-0.008109589176365619
