model,test_index,ref_event_id,model_event_id,alignment_score,weak_match,ref_speech_act,model_speech_act,ref_speech_category,model_speech_category,ref_intended_meaning,model_intended_meaning,ref_actor,model_actor,ref_action,model_action,ref_object,model_object,ref_recipient,model_recipient,ref_evidence,model_evidence,intended_similarity,action_similarity,evidence_similarity,error_type
aya32b,67,,4.0,,,,reassurance,,,,"The road is new, so we should be able to make it on time.",,,,reassuring about the trip,,the new road condition,,Jane,,"the road is new , we will make it ^^",,,,extra_model_event
aya32b,78,2.0,3.0,0.6757509010812977,False,request,requesting assistance,question_request,question_request,Fiona asks Tina to help her make the tart.,Fiona asks Tina for help in preparing a tart.,Tina,,help make,help prepare a tart,tart,tart,Fiona,Tina,Could help me do it?,Could help me do it?,0.6266283524904215,0.39166666666666666,1.0,
aya32b,78,3.0,4.0,0.8067572778099095,False,acceptance,agreeing to assist,agreement_confirmation,agreement_confirmation,Tina agrees to help Fiona make the tart.,Tina agrees to help Fiona with the tart.,Tina,Tina,help,help,tart preparation,Fiona with the tart preparation,Fiona,,Sure! It's not difficult.,Sure! It's not difficult.,0.88375,1.0,1.0,
aya32b,78,1.0,,,,plan,,,,Fiona wants to prepare a nice dinner for Chris using Tina's tart recipe.,,Fiona,,prepare,,Tina's tart,,Chris,,prepare a nice dinner for Chris prepare this tart of yours,,,,,omitted_reference_event
aya32b,78,,1.0,,,,requesting availability,,,,Fiona wants to know if Tina is available for help.,,,,,,,,Tina,,Are you free?,,,,extra_model_event
aya32b,78,,2.0,,,,confirming availability,,,,Tina confirms she is available.,,,,,,,,Fiona,,"Yes, what's up?",,,,extra_model_event
aya32b,78,,5.0,,,,disclosing preparation status,,,,Fiona informs Tina that she has bought the crust but hasn't started the filling.,,Fiona,,bought the crust,,tart crust,,Tina,,I must admit I bought the crust...,,,,extra_model_event
aya32b,78,,6.0,,,,providing advice,,,,Tina advises Fiona on how to avoid scrambled eggs while making the filling.,,Tina,,provide advice,,tart filling preparation technique,,Fiona,,"The thing is that once you start adding eggs you can't stop mixing it, otherwise you'll end up with scrambled eggs.",,,,extra_model_event
aya32b,86,1.0,1.0,0.384147465437788,True,preference,question,other,question_request,Nathalie wants a classy New Year's Eve plan.,Inquire about New Year's Eve plans.,Nathalie,,prefer,,classy New Year's Eve plan,,,,something classy,are we doing anything for New Year's Eve?,0.5178119349005424,0.0,0.11052631578947367,
aya32b,86,2.0,4.0,0.5789864864864865,False,refusal,rejection,other,refusal_cancel,Olafur rejects opera as the New Year's Eve plan.,Reject the idea of going to the opera.,Olafur,Olafur,reject,thinking,opera,opera,,,opera is not for me,opera is not for me,0.25875512995896033,0.049999999999999996,1.0,
aya32b,86,4.0,5.0,0.7041666666666667,False,suggestion,proposal,suggestion_invitation,suggestion_invitation,Zoe suggests the Breakfast at Tiffany's party as a classy option.,Suggest a Breakfast at Tiffany's party as an alternative.,"Nathalie, Olafur and Zoe",,go to,suggesting,Breakfast at Tiffany's party,Breakfast at Tiffany's party,,,Breakfast at Tiffany's party sounds classy,Breakfast at Tiffany's party sounds classy,0.6654098360655738,0.09333333333333332,1.0,
aya32b,86,5.0,6.0,0.5022532188841202,False,decision,agreement,other,agreement_confirmation,Nathalie decides they will go to Soho.,Agree to the proposed plan and confirm the location.,"Nathalie, Olafur and Zoe",Nathalie,go to,going,Soho,Soho,,,we'll going to Soho then,we'll going to Soho then,0.19013888888888889,0.13999999999999999,1.0,
aya32b,86,3.0,,,,suggestion,,,,Olafur suggests partying instead.,,"Nathalie, Olafur and Zoe",,party,,New Year's Eve,,,,I was thinking about partying somewhere,,,,,omitted_reference_event
aya32b,86,6.0,,,,commitment,,,,Olafur says they need to buy tickets soon.,,"Nathalie, Olafur and Zoe",,buy,,tickets,,,,buy some tickets soon,,,,,omitted_reference_event
aya32b,86,,2.0,,,,proposal,,,,Suggest a classy event like opera.,,,,thinking about something classy,,opera,,,,"I was thinking about something classy, like opera or sth like that",,,,extra_model_event
aya32b,86,,3.0,,,,question,,,,Ask about the cost of the proposed event.,,,,,,,,,,how much does it cost?,,,,extra_model_event
aya32b,120,1.0,1.0,0.6763297150610583,False,invitation,invitation,suggestion_invitation,suggestion_invitation,John invites Joan to watch A Star is Born on Wednesday.,Proposing a movie date.,John and Joan,John,watch,going to the movies,A Star is Born,"""A Star is Born""",,Joan,"wanna go see ""A Star is Born"" on Wed?","wanna go see ""A Star is Born"" on Wed?",0.1764102564102564,0.05833333333333333,1.0,
aya32b,120,2.0,2.0,0.45556076519129785,False,refusal,refusal,other,other,Joan cannot go on Wednesday because she is busy.,Declining the invitation due to prior engagements.,Joan,Joan,cannot go,not going,Wednesday movie plan,"""A Star is Born""",John,John,sorry can't super busy,sorry can't super busy,0.07142857142857142,0.2333333333333333,1.0,
aya32b,120,3.0,3.0,0.43246112237998646,True,alternative proposal,counter-proposal,suggestion_invitation,suggestion_invitation,Joan proposes Thursday around 8 p.m. instead.,Suggesting an alternative day when she is available.,John and Joan,Joan,watch,being free,A Star is Born on Thursday around 8 p.m.,Thursday,,John,I'm free on Thursday around 8pm?,I'm free on Thursday,0.122680412371134,0.0,0.7892307692307692,
aya32b,120,4.0,4.0,0.5743150684931506,False,acceptance,acceptance,agreement_confirmation,agreement_confirmation,John agrees to meet on Thursday 8pm.,Agreeing to the counter-proposed day.,John,John,accepts,accepting,Thursday plan,Thursday,,Joan,I could do Thursday sure sounds great,I could do Thursday,0.2726027397260274,0.26249999999999996,0.7102272727272727,
aya32b,120,5.0,6.0,0.6915857605177994,False,commitment,commitment,commitment_plan,commitment_plan,John will send Joan the location details.,Promising to send details about the movie showing.,John,John,send,sending details,location details,movie showing details,Joan,Joan,I'll see where it's palying and send you the details,I'll see where it's playing and send you the details,0.39076923076923076,0.14736842105263157,0.9282692307692308,
aya32b,120,,5.0,,,,confirmation,,,,Confirming the movie date and suggesting a time.,,Joan,,confirming,,movie date on Thursday around 8pm,,John,,ok! so around 8pm?,,,,extra_model_event
aya32b,137,1.0,1.0,0.8247476011681268,False,request,request,question_request,question_request,Peyton wants Cameron to bring a video game.,Ask Cameron to bring a video game.,Cameron,Cameron,bring,bring,video game,video game,Peyton,Peyton,bring that video game for me,I have been asking you to bring that video game for me,0.8200000000000001,1.0,0.6723577235772358,
aya32b,137,2.0,4.0,0.50785140562249,False,explanation,answer,commitment_plan,other,Cameron explains that he cannot come home soon.,Informs Peyton of their extended absence.,Cameron,,stay out of town,,another week,staying out of town for another week,,Peyton,not having enough time to come home stay out of town for another week,I will have to stay out of town for another week i guess,0.10340909090909091,0.0,0.6203851851851853,
aya32b,137,3.0,5.0,0.6441140776699028,False,suggestion,suggestion,suggestion_invitation,suggestion_invitation,Peyton suggests that Cameron send the game by courier.,Proposes an alternative way to deliver the game.,Cameron,Cameron,deliver,deliver through courier,video game,video game,Peyton,,deliver that game through the courier,Cant you just deliver that game through the courier? :P,0.2833333333333333,0.48833333333333334,0.7690217391304347,
aya32b,137,,2.0,,,,refusal,,,,Explains why they can't fulfill the request.,,Cameron,,not having enough time,,,,Peyton,,"Honey, I am not having enough time to come home",,,,extra_model_event
aya32b,137,,3.0,,,,question,,,,Inquires about Cameron's return.,,,,,,,,Cameron,,When would you come home?,,,,extra_model_event
aya32b,137,,6.0,,,,command,,,,Insists on Cameron returning home immediately.,,Cameron,,come home,,,,Cameron,,Get the job done and come to home then. ASAP :P,,,,extra_model_event
aya32b,139,1.0,3.0,0.7041758241758242,False,disclosure,statement,inform_update,inform_update,Paul says he forgot his physiotherapy appointment.,Paul informs Emma that he missed his physiotherapy appointment.,Paul,,forgot,,physiotherapy,physiotherapy appointment,,,I forgot about my physiotherapy,I forgot about my physiotherapy,0.6664269911504426,0.0,1.0,
aya32b,139,2.0,5.0,0.8227681660899654,False,commitment,commitment,commitment_plan,commitment_plan,Paul will schedule a new physiotherapy appointment.,Paul decides to schedule a new physiotherapy appointment.,Paul,Paul,schedule,scheduling,new appointment,new physiotherapy appointment,,,I'll schedule a new appointment,"It's ok, I'll schedule a new appointment",0.8311111111111111,0.2722222222222222,0.847300469483568,
aya32b,139,4.0,6.0,0.8167083854818524,False,offer,request,commitment_plan,question_request,Paul offers to prepare food for Emma.,Emma asks Paul to prepare food for her.,Paul,Paul,prepare,preparing food,food,,Emma,Emma,Do you want me to prepare some food for you?,Do you want me to prepare some food for you?,0.7686842105263157,0.19999999999999998,1.0,
aya32b,139,5.0,7.0,0.8978056426332288,False,acceptance,acceptance,agreement_confirmation,agreement_confirmation,Emma accepts Paul's offer to prepare food.,Emma accepts Paul's offer to prepare food.,Paul,,prepare,,food,food preparation,Emma,Paul,That would be lovely,That would be lovely,1.0,0.0,1.0,
aya32b,139,3.0,,,,update,,,,Emma says she will come home after midnight.,,Emma,,come home,,after midnight,,,,I'll be home after midnight,,,,,omitted_reference_event
aya32b,139,,1.0,,,,statement,,,,Paul informs Emma that he has returned home.,,Paul,,coming back home,,,,Emma,,I just came back home,,,,extra_model_event
aya32b,139,,2.0,,,,statement,,,,Paul expresses his busy schedule for the day.,,,,,,,,,,What a busy day,,,,extra_model_event
aya32b,139,,4.0,,,,response,,,,Emma expresses concern about Paul missing his appointment.,,,,,,,,,,Oh no,,,,extra_model_event
aya32b,192,1.0,1.0,0.5438731707317073,False,disclosure,sharing bad news,inform_update,other,Harris tells Lena that his friend Aoki died yesterday.,Informing Lena about the death of his friend Aoki.,Aoki,null,died,informing,,Aoki's death,,Lena,My friend Aoki died yesterday,My friend Aoki died yesterday.,0.4840811965811965,0.05384615384615385,0.9940677966101695,
aya32b,192,2.0,3.0,0.3631034828866807,True,uncertainty,speculating,other,other,Harris does not know what happened to Aoki.,Expressing his fear about the cause of death.,Harris,null,does not know,speculating,cause of death,the worst,,Lena,Not sure yet,Not sure yet. Thinking the worst...,0.10340909090909091,0.05833333333333333,0.6120567375886525,
aya32b,192,3.0,,,,background information,,,,Harris says he has not seen Aoki for a few months and that she lived in Michigan.,,Harris,,had not seen,,Aoki for a few months,,,,Not for a few months She lives in Michigan,,,,,omitted_reference_event
aya32b,192,,2.0,,,,expressing concern,,,,Showing empathy and asking for more details.,,null,,asking,,what happened to Aoki,,Harris,,What happened?,,,,extra_model_event
aya32b,192,,4.0,,,,comforting,,,,Offering support and acknowledging the unpredictability of life.,,null,,comforting,,Harris,,Harris,,You just never know.,,,,extra_model_event
aya32b,192,,5.0,,,,acknowledging,,,,Agreeing with Lena and providing more context.,,null,,agreeing,,the unpredictability of life,,Lena,,True.,,,,extra_model_event
aya32b,192,,6.0,,,,closing the conversation,,,,Informing Lena that he needs to go and thanking her for her support.,,Harris,,ending the conversation,,null,,Lena,,"Got to go, mom's calling. K will do",,,,extra_model_event
aya32b,210,1.0,1.0,0.6783879704865976,False,question,invitation,question_request,suggestion_invitation,Yaz asks whether Mary is going to slimming club tonight.,Asking Mary if she is going to the slimming club.,Mary,,go to,,slimming club tonight,slimming club,,Mary,Going to slimming club tonight?,Going to slimming club tonight?,0.6233333333333333,0.0,1.0,
aya32b,210,2.0,2.0,0.5802810304449649,False,reluctant acceptance,refusal,agreement_confirmation,other,Mary does not want to go but thinks she should.,Expressing reluctance but acknowledging the need to go.,Mary,Mary,go to,going to the slimming club,slimming club,,,,"I don't want to, but I really should","Well, I don't want to, but I really should. I've been so bad, though!",0.2990196078431372,0.276036866359447,0.7127272727272728,
aya32b,210,4.0,5.0,0.5314950980392157,False,plan,confirmation,commitment_plan,agreement_confirmation,Yaz will pick Mary up around 6.,Confirming the plan and offering a ride.,Yaz,Yaz,pick up,picking up Mary,,,Mary,Mary,"See you at 6ish, pick you up!","Well, she IS our old cookery teacher! See you at 6ish, pick you up!?",0.09859154929577464,0.4827272727272727,0.6426116838487972,
aya32b,210,3.0,,,,expectation,,,,Mary expects they will be told off for eating too much.,,slimming club leader,,tell off,,Yaz and Mary,,Yaz and Mary,,She'll tell us off,,,,,omitted_reference_event
aya32b,210,,3.0,,,,agreement,,,,Agreeing that they both have indulged.,,,,,,indulgence in food and drink,,Mary,,"Me too, choccies, wine, cake, you name it!",,,,extra_model_event
aya32b,210,,4.0,,,,acceptance,,,,Accepting the situation and deciding to go.,,Mary,,biting the bullet and going,,,,,,"Well, we should bite the bullet. She'll tell us off, I expect. Feels like being back at school!",,,,extra_model_event
aya32b,210,,6.0,,,,acknowledgement,,,,Confirming the arrangement.,,,,,,meeting at 6ish,,Yaz,,Yep! See you then!,,,,extra_model_event
aya32b,211,1.0,3.0,0.4442105263157895,True,update,inform illness,inform_update,inform_update,Camille says she is sick.,Inform the group that she is sick.,Camille,,is sick,inform,,her illness,,Ellie and Aaliyah,I'm sick,I'm sick :/,0.5266949152542373,0.05384615384615385,0.9447368421052631,
aya32b,211,2.0,5.0,0.6221821394390046,False,information request,request class location,question_request,question_request,Ellie asks where their classes are being held.,Ask Aaliyah for the location of their classes.,Ellie,,ask location,ask,classes,class location,Aaliyah,Aaliyah,where are we having our classes now?,"Aali, where are we having our classes now?",0.3222826086956522,0.5733333333333334,0.9297435897435897,
aya32b,211,3.0,6.0,0.5804444444444443,False,answer,provide information,other,inform_update,Aaliyah tells Ellie the class is in room 342 on the second floor.,Inform Ellie that their classes are in room 342 on the second floor.,,,be located,inform,room 342 on the second floor,class location details,,Ellie,342 on the second floor,342 on the second floor,0.6684210526315789,0.04375,1.0,
aya32b,211,,1.0,,,,check location,,,,Inquire about the current location of Aaliyah.,,,,ask,,Aaliyah's location,,Aaliyah,,"hey, are you at the university?",,,,extra_model_event
aya32b,211,,2.0,,,,confirm presence,,,,Confirm that she is at the university.,,,,confirm,,her presence at the university,,,,yep,,,,extra_model_event
aya32b,211,,4.0,,,,express concern,,,,Express concern about Camille's illness.,,,,express,,concern,,Camille,,shiet....that's bad,,,,extra_model_event
aya32b,212,2.0,2.0,0.6832755932790577,False,question,question,question_request,question_request,Aaron asks whether Nathan knows the woman in the video.,Inquiry about Nathan's knowledge of the person in the video.,Nathan,,know,,woman in the video,the person in the video,,Nathan,do you know her mate?,do you know her mate?,0.4852173913043478,0.0,1.0,
aya32b,212,3.0,5.0,0.6405888030888031,False,answer,explanation,other,commitment_plan,Nathan says he does not know her and that Dan sent him the video.,Nathan clarifies that he doesn't know the person and received the video from Dan.,Dan,,sent,sending the video,video,the video,Nathan,Aaron,No clue mate Dan sent it over,"No clue mate, Dan sent it over",0.5871819960861057,0.1333333333333333,0.9940677966101695,
aya32b,212,1.0,,,,information sharing,,,,Nathan sends Aaron a video.,,Nathan,,send,,video,,Aaron,,<file_video>,,,,,omitted_reference_event
aya32b,212,,1.0,,,,expression of surprise and amusement,,,,Aaron is shocked and finds the video funny.,,,,,,,,,,OMG!!! 😂😂😂😂 looool,,,,extra_model_event
aya32b,212,,3.0,,,,comparison,,,,Aaron compares the expression of the person in the video to his cat's face during a specific action.,,,,taking a dump,,my cat's face,,,,my cat's face looks like that when he's taking a dump..🤣🤣🤣,,,,extra_model_event
aya32b,212,,4.0,,,,response and joke,,,,Nathan finds the video humorous and suggests the person is experiencing a spiritual moment.,,,,,,the person in the video,,Aaron,,Hahahaha She's having a spiritual moment 😉,,,,extra_model_event
aya32b,215,1.0,1.0,0.4635476718403548,False,topic initiation,question,other,question_request,Freddie starts a discussion about what everyone is watching on Netflix.,Inquire about Kelly's Netflix viewing preferences.,Freddie,,ask about,,Netflix shows,,group,Kelly,What are you watching on Netflix?,What are you watching on Netflix?,0.27442877977637337,0.0,1.0,
aya32b,215,2.0,2.0,0.7334928229665071,False,update,answer,inform_update,other,Kelly says she has finished watching The Crown.,Share that she has finished watching The Crown.,Kelly,,finished watching,,The Crown,The Crown,,Freddie,I've just finished The Crown,I've just finished The Crown.,0.785372340425532,0.0,0.993859649122807,
aya32b,215,3.0,4.0,0.475165329956381,False,recommendation,suggest,suggestion_invitation,suggestion_invitation,Freddie recommends Outlander or The Tudors to Kelly.,Recommend alternative shows to Kelly while waiting for new episodes.,Kelly,Kelly,try,watching,Outlander or The Tudors,"['Outlander', 'The Tudors']",,,Try Outlander or The Tudors,Try Outlander or The Tudors in the meantime.,0.3077777777777778,0.06363636363636363,0.7661971830985915,
aya32b,215,5.0,5.0,0.5137634408602151,False,update,agree,inform_update,agreement_confirmation,Greg says he is watching House of Cards but finds the new series boring.,Agree that the new series of House of Cards is boring.,Greg,,watch,,House of Cards,the new series of House of Cards,,Greg,I'm watching House of Cards the new series is boring,I agree. Not the same without Kevin Spacey!,0.6271111111111112,0.0,0.16801169590643275,
aya32b,215,4.0,,,,update,,,,"Jim says he is watching I, Zombie.",,Jim,,watch,,"I, Zombie",,,,"i'm watching I, Zombie",,,,,omitted_reference_event
aya32b,215,6.0,,,,update,,,,Alan says he is catching up with Friends.,,Alan,,watch,,Friends,,,,I'm catching up with Friends,,,,,omitted_reference_event
aya32b,215,,3.0,,,,inform,,,,Inform Kelly about the upcoming new episodes of The Crown.,,,,,,new episodes of The Crown,,Kelly,,There should be new episodes coming soon.,,,,extra_model_event
aya32b,215,,6.0,,,,suggest,,,,Recommend The West Wing to Greg.,,Greg,,watching,,The West Wing,,,,You should try The West Wing if you enjoy political dramas.,,,,extra_model_event
aya32b,244,1.0,5.0,0.6339563862928349,False,request,Invitation,question_request,suggestion_invitation,Jones asks Angelina to meet later in town.,Proposing a meeting later in the afternoon in town,Jones and Angelina,Jones,meet,meeting,later in the afternoon in town,afternoon in town,,Angelina,meet today later in the afternoon in town,You think we can meet today later in the afternoon in town?,0.40441176470588236,0.2545454545454545,0.8069999999999999,
aya32b,244,2.0,6.0,0.43802681992337167,True,acceptance,Acceptance and Confirmation,agreement_confirmation,agreement_confirmation,Angelina agrees to meet Jones.,Confirming the meeting proposal,Angelina,Angelina,agree to meet,meeting,,afternoon in town,Jones,Jones,Definitely,Definitely. Cool,0.13770491803278687,0.13999999999999999,0.7025641025641025,
aya32b,244,3.0,,,,commitment,,,,Jones will call Angelina to confirm the meeting place.,,Jones,,call to confirm,,meeting location,,Angelina,,I will call you to confirm where we will meet,,,,,omitted_reference_event
aya32b,244,,1.0,,,,Greeting,,,,Initiating the conversation,,,,,,,,Angelina,,Hey.,,,,extra_model_event
aya32b,244,,2.0,,,,Greeting and Inquiry,,,,Reciprocating the greeting and asking about Jones' well-being,,,,,,,,Jones,,Hey. Long time. How are you doing?,,,,extra_model_event
aya32b,244,,3.0,,,,Response and Inquiry,,,,Indicating they are fine and asking about Angelina's well-being,,,,,,,,Angelina,,I'm fine You?,,,,extra_model_event
aya32b,244,,4.0,,,,Response,,,,Confirming they are doing well,,,,,,,,Jones,,I'm cool too.,,,,extra_model_event
aya32b,285,1.0,3.0,0.4686731315042574,False,explanation,confirmation,commitment_plan,agreement_confirmation,Casey says she did her nails herself with new nail polish and it took nearly 4 hours.,Confirming she did her nails herself.,Casey,,did,confirming,her nails,doing her nails,,Amelia,i did it myself got a new nail polish took me nearly 4 hours,Casey: yeah i did it myself,0.443264433357092,0.05384615384615385,0.3806896551724138,
aya32b,285,2.0,4.0,0.5819494584837545,False,request,request,question_request,question_request,Amelia asks Casey to do nails for Amelia and Kristen too.,Asking Casey to do their nails too.,Casey,,do nails,requesting,Amelia and Kristen's nails,nail art service,Amelia and Kristen,Casey,can you do it for us too?,Amelia: can you do it for us too?,0.5589371980676329,0.03888888888888888,0.9083908045977012,
aya32b,285,3.0,6.0,0.45611657471815786,False,refusal,refusal,other,other,Casey refuses because doing the nails took too long.,Declining to do their nails due to the time-consuming process.,Casey,,not do,refusing,friends' nails,doing Amelia and Kristen's nails,Amelia and Kristen,"Amelia, Kristen",sorry you guys 4 hours for nails is too much,Casey: sorry you guys... it was a nightmare... seriously 4 hours for nails is too much,0.2773684210526316,0.049999999999999996,0.7369230769230769,
aya32b,285,,1.0,,,,showing,,,,Sharing a photo of her nail art.,,,,sharing,,<file_photo>,,"Amelia, Kristen",,Casey: <file_photo>,,,,extra_model_event
aya32b,285,,2.0,,,,praise,,,,Expressing admiration for the nail art.,,,,admiring,,Casey's nails,,Casey,,Amelia: these are so nice!!!,,,,extra_model_event
aya32b,285,,5.0,,,,support,,,,Supporting Amelia's request.,,,,supporting,,Amelia's request,,Casey,,Kristen: pretty please!,,,,extra_model_event
aya32b,319,1.0,1.0,0.7176793794440853,False,request,request,question_request,question_request,Sue asks Steve to call her because it is important.,Sue wants Steve to contact her immediately.,Steve,Steve,call,call,,null,Sue,Sue,Call me when you get this it's important,Call me when you get this.,0.5069461827284105,1.0,0.8222943722943723,
aya32b,319,2.0,3.0,0.7035087719298245,False,commitment,acknowledgement,commitment_plan,agreement_confirmation,Steve says he is calling Sue now.,Steve confirms he will call Sue.,Steve,Steve,call,call,,null,Sue,Sue,"OK, I'm calling","OK, I'm calling",0.536923076923077,1.0,1.0,
