id,dialogue,gold_en,gold_zh,predicted_zh
test_00010,"Paul: I just came back home
Paul: What a busy day
Paul: I forgot about my physiotherapy 
Emma: Oh no
Paul: It's ok, I'll schedule a new appointment
Emma: I'll be home after midnight
Paul: Do you want me to prepare some food for you?
Emma: That would be lovely","Paul forgot about his physiotherapy and he will schedule a new appointment. Emma will be home after midnight, so Paul will prepare some food for her.",保罗忘记去做理疗了，得重新预约。艾玛午夜后回家，所以保罗会给她准备一些吃的。,保罗回家了。他忘了进行理疗。艾玛会在午夜后回家。保罗会为她准备一些食物。
test_00011,"Harris: How are U?
Lena: Fine, U?
Harris: Been better.
Lena: ?
Harris: My friend Aoki died yesterday.
Lena: O No!
Harris: Yeah.
Lena: What happened?
Harris: Not sure yet. Thinking the worst...
Lena: O how awful!
Harris: Yes.
Lena: You just never know.
Harris: True.
Lena: Had you seen her lately?
Harris: Not for a few months. She lives in Michigan.
Lena: Oh, that's far.
Harris: Not too far but far enough.
Lena: Right.
Harris: Got to go, mom's calling.
Lena: K bi. Feel better!
Harris: K will do","Harris' friend, Aoki, who lives in Michigan, died yesterday. Harris hasn't seen her for a few months.",哈里斯的朋友青木住在密歇根州，昨天去世了。哈里斯有几个月没见她了。,"哈里斯的朋友青木昨天去世了。她住在密歇根,最近没见过她。莉娜的妈妈会打电话给她。"
test_00012,"Yaz: Going to slimming club tonight?
Mary: Well, I don't want to, but I really should. I've been so bad, though!
Yaz: Me too, choccies, wine, cake, you name it!
Mary: Well, we should bite the bullet. She'll tell us off, I expect. Feels like being back at school!
Yaz: Well, she IS our old cookery teacher! See you at 6ish, pick you up!?
Mary: Yep! See you then!",Yaz and Mary are meeting tonight around 6 and going for the slimming club together. They expect to be scolded for eating too much. ,亚兹和玛丽今晚6点左右见面，一起去减肥俱乐部。他们估计吃得太多会被骂。,玛丽和亚兹今晚6点左右要去健身房。
test_00013,"Ellie: hey, are you at the university?
Aaliyah: yep
Camille: I'm sick :/
Ellie: shiet....that's bad
Ellie: Aali, where are we having our classes now?
Aaliyah: 342 on the second floor",Ellie's class is in 342 on the second floor.,艾莉的班级在二楼342教室。,艾莉和阿莉亚在342号大楼上课。
test_00014,"Nathan: <file_video>
Aaron: OMG!!! 
Aaron: 😂😂😂😂
Aaron: looool
Aaron: do you know her mate? 🤣🤣
Aaron: my cat's face looks like that when he's taking a dump..🤣🤣🤣
Aaron: <file_gif>
Aaron: the angels must be weeping 🤭🤭🤭 
Aaron: <file_gif>
Aaron: <file_gif>
Nathan: Hahahaha
Nathan: She's having a spiritual moment 😉
Nathan: No clue mate, Dan sent it over
Nathan: A tragedy to say the least 😂😂
Aaron: <file_gif>
Aaron: looking for Jesus
Nathan: 😂😂😂
Aaron: hilarious..hahahaha",Nathan and Aaron are discussing a video which Nathan sent. ,内森和亚伦正在讨论内森发来的视频。,亚伦的猫在找耶稣。
test_00015,"Freddie: What are you watching on Netflix? I've just finished Mad Men.
Kelly: I've just finished The Crown. 
Freddie: There should be new episodes coming soon.
Kelly: OMG! i can't wait! :)
Freddie: Try Outlander or The Tudors in the meantime.
Jim: i'm watching I, Zombie.
Bob: try Grimm or Sabrina. They're both great!
Kelly: they are all horrible and disgusting! 
Bob: i think they are funny. They're just TV shows don't take them too seriously. x 
Greg: I'm watching House of Cards though must admit the new series is boring.
Mike: i agree. not the same without Kevin Spacey! You should try The West Wing if you enjoy political dramas.
Greg: Netflix original Bodyguard is supposed to be good from what I've heard.
Mary: I'm a bit ashamed to confess i enjoy stuff like Pretty Little Liars or Gossip Girl ;)
Nancy: don't be ashamed i enjoy them too! and my favourite one is Desperate Housewives!!!
Mary: I know! I watched it twice!
Alan: I'm catching up with Friends.
Nancy: OMG! i used to love Friends!","Freddie, Kelly, Jim, Greg, Bob, Mike, Mary, Alan and Nancy are watching different shows on Netflix.",弗雷迪、凯利、吉姆、格雷格、鲍勃、迈克、玛丽、艾伦和南希正在netflix上观看不同的节目。,弗雷迪、凯莉、吉姆、鲍勃、格雷格、南希和凯文·斯派西在netflix上看《疯子》。
test_00016,"Jones: Hey.
Angelina: Hey.
Angelina: Long time. How are you doing?
Jones: I'm fine
Jones: You?
Angelina: I'm cool too.
Jones: You think we can meet today later in the afternoon in town?
Angelina: Definitely.
Jones: Okay. I will call you to confirm where we will meet.
Angelina: Cool",Jones and Angelina will meet in town in the afternoon.,琼斯和安吉丽娜下午会在城里见面。,安吉莉娜和琼斯今天下午会在城里见面。琼斯会打电话确认他们在哪里见面。
test_00017,"Casey: <file_photo>
Amelia: these are so nice!!! did you do them yourself?
Kristen: wooow amazing
Amelia: i want my nails done like that too!
Casey: yeah i did it myself :D got a new nail polish but damn it took me nearly 4 hours lol
Amelia: can you do it for us too?
Kristen: pretty please!
Casey: sorry you guys... it was a nightmare :( seriously 4 hours for nails is too much","Casey got a new nail polish and did her nails herself. It took her nearly 4 hours, so she won't do her friends' nails, as it takes too long.",凯西买了新指甲油，自己做了指甲。她花了近4个小时，所以她不会帮朋友做指甲，因为耗时太长了。,"凯西自己剪了指甲,花了4个小时。"
test_00018,"Sue: Call me when you get this.
Sue: it's important
Steve: OK, I'm calling",Steve is calling Sue at her request.,史蒂夫正按照苏的要求给她打电话。,史蒂夫会给苏打电话。
test_00019,"Timmy: Who do u wanna invite?
Gemma: Well, there's u and ur date :)
Timmy: Not sure about the date, but I'll be there :) who else?
Gemma: I was thinking about Lona and Michelle.
Timmy: Still thinking ur getting invites to their weddings?
Gemma: It's not like that.
Timmy: Sure it is ;) just don't wanna admit it ;)
Gemma: Fine! I want to come to their wedding receptions!
Timmy: There we go :) was it so hard?
Gemma: Yes.
Timmy: And u think u can change their minds?
Gemma: Dunno.","Gemma will invite Timmy and his Date, as well as Lona and Michelle to her wedding.",杰玛将邀请蒂米和他的约会对象，以及罗娜和米歇尔参加她的婚礼。,吉玛和她的约会对象是洛娜和米歇尔。吉玛不想被邀请去参加他们的婚礼。
test_00020,"Ann: Congratulations!!
Ann: You did great, both of you!
Sue: Thanks, Ann
Julie: I'm glad it's over!
Julie: That's co cute of you, girl!
Ann: Let's have a little celebration tonight! 
Sue: I'm in
Julie: me too!!! aww","Ann, Sue and Julie did a great job and they will have a little celebration tonight.",安、苏和朱莉做得很好，今晚他们会举行一个小小的庆祝活动。,安、苏和朱莉今晚要庆祝。
test_00021,"Steve: hiya the dishwasher has turned up
Mum: good did they install it for you
Steve: yes they did a good job
Steve: <file_photo>
Mum: looks really nice
Steve: yes it does its nice and quiet
Mum: is it a 12 place setting one?
Steve: I think so, not that I ever have 12 for dinner lol
Mum: not but you dont have to put it on every day
Steve: no every other
Mum: yes I'm glad you are pleased with it xx
Steve: I am thanks mum xxx",Steve is happy that he got a new dishwasher installed.,史蒂夫很高兴他装了一台新的洗碗机。,妈妈给史蒂夫安装了一台洗碗机。
test_00022,"Marika: Are you coming today?
Lara: Yes!
Marika: Great!",Marika is coming today.,玛丽卡今天会来。,劳拉今天要来。
test_00023,"Miranda: Hi S, could we cancel tomorrow's meeting?
Stephanie: again? what happened?
Miranda: I have to work :(
Stephanie: you work 20 hours a day!
Miranda: that's what young doctors do
Stephanie: they kill themselves working
Miranda: no they come close to death but survive and it makes them immortal
Stephanie: as long as you have an explanation :D",Miranda can't make her meeting with Stephanie as she has to work. ,米兰达不能去见斯蒂芬妮，因为她要工作。,"米兰达和斯蒂芬妮取消了明天的会议,因为她得工作。"
test_00024,"Javier: Hey do you know any tattoo parlors over here with English speaking employees?
Judie: Oh there's Warsaw ink
Javier: the name sounds neat... have you had a tattoo done there?
Judie: nope but my gf has
Javier: got a pic?
Judie: <file_photo>
Javier: wow that looks amazing
Javier: how much did she pay?
Judie: it was a 1000
Javier: fuck
Javier: let me just get a tatttoo back in colombia then, thx",Javier was initially eager to have a tatoo done at Warsaw Ink but the price turned out to be too high. Javier decided to have a tatoo done in Colombia.,哈维尔最初很想在warsaw ink纹身，但价格太高了。他决定去哥伦比亚做纹身。,"朱迪的女朋友在那里纹身,她花了1000 美元。"
test_00025,"Sam: You own a really nice hotel, guys 😊
Jessica: Thanks Sam 😊
Michael: Thanks, mate 
Sam: How is our hotel room set for next month? Hope that the manager will arrange the very best for us 😉
Michael: you’re damn right, Sam
Michael: are you coming on the 15th of August?
Sam: Yep! We’ll be at the hotel around 2 p.m.
Jessica: I’m soooo happy to see you again!
Sam: Me, too 😊",Sam appreciates the hotel owned by Jessica and Michael. Sam is going there on the 15th August at around 2pm.,山姆很喜欢杰西卡和迈克尔的酒店。他会在8月15日下午2点左右去那里。,杰西卡、迈克尔和山姆将在8月15日下午两点左右在酒店见面。
test_00026,"Terence: What the hell, Danny. You took my money, didn't you? :/
Daniel: What, your money?? Why would I
Terence: Don't play dumb
Daniel: Are you calling me a liar, Terry??
Terence: I'm not stupid, Danny
Daniel: And I'm not a thief?? That's not cool, man :/
Terence: ... Oh shit, I'm sorry, I've just found it. Forgot I'd placed it elsewhere last month
Daniel: Good for you then
Terence: Are you upset
Daniel: What do you think?? Yeah, oh-fucking-course I am",Terence accused Daniel of taking his money. Terence finds the money later and apologizes to Daniel. Daniel is still upset.,特伦斯指控丹尼尔偷了他的钱。后来他找到了钱，就向丹尼尔道歉。但是丹尼尔还在生气。,丹尼尔抢走了特伦斯的钱。丹尼尔把钱忘在别的地方了。
test_00027,"Natacha: hi, i can come and pick you up at the RER.
Charles: so  nice. I just landed. I think i'll arrive about 5:30pm. I'll give you a call
Natacha: ok ,call  me when  you'll be at the station Vesinet. 
Charles: thanks . see you",Charles has just landed and he will be at RER about 5.30 PM. Natacha will pick him up from there.,查尔斯刚刚落地，他会在下午五点半到达rer，娜塔夏会在那里接他。,查尔斯下午五点半左右会来接娜塔莎。娜塔查会给查尔斯打电话。
test_00028,"Meg: still at school?
Ann: i have extra math classes
Meg: so when can i meet you?
Ann: i will be home at 7",Ann is still at school. She will be home at 7 so she can meet Meg then.,安还在学校，她7点会回家，这样她就可以和麦格见面了。,"安有额外的数学课,所以她7点回家。"
test_00029,"Pete: What flavour yogurt did you want again? My brain is like a sieve today.
Jen: Pear but only if they've got it. Otherwise don't worry about it.
Pete: I'll have a look around. If they don't have pear can I get a different flavour?
Jen: I don't like any other flavour. If they don't have pear just don't get anything at all then.
Pete: OK.",Pete will get a pear yogurt for Jen if they have it.,如果商店里有梨味酸奶， 皮特会给珍买的。,"皮特想吃酸奶,但珍觉得酸奶有梨味。"
test_00030,"Christie: how are you after the party?
Katie: really tired... and you?
Christie: same
Christie: the party was great!
Katie: Yeah, we had fun! :)",Christie and Katie are tired after the party. They both had fun.,克里斯蒂和凯蒂在聚会后累了。他们都玩得很开心。,"聚会结束后,克莉丝蒂和凯蒂都很累。"
test_00031,"Sam: Are you working tomorrow?
Carla: No, it's my day off
Sam: I'm free in the afternoon, do you fancy meeting up?
Carla: Yeah, sure
Sam: Ok, great! Shall we go to Meanwood?
Carla: Ok, there's that cafe there that does the yummy cakes. Meet you at 2?
Sam: Yes - looking forward to it!
Carla: See you tom! xx",Carla has a day off tomorrow. She will meet Sam in Meanwood in a cafe at 2 pm.,卡拉明天有一天假。她将在下午两点在meanwood的一个咖啡馆和山姆见面。,山姆和卡拉明天下午两点在梅恩伍德的咖啡馆见面。
test_00032,"Joana: wana play some games?
Sandy: what games?
Joana: maybe dixit?
Joana: or carcassonne?
Sandy: why not?
Joana: ok, I'll bring them 2 u
Sandy: great :)",Joana will bring Sandy some games like dixit and carcassonne.,琼娜将为桑迪带来一些像迪克西特和卡尔卡松这样的游戏。,乔安娜会给桑迪带一些游戏。
test_00033,"Steve: Bought the new Dream Theater album 5 minutes ago. I hope it's good.
Rob: I have it here on my desk, ready for the first listening.
Steve: Ok, I'll tell you later what I think about it.
Rob: Same here. See you later!","Steve and Rob will talk about new Dream Theater album, after they finish listening.",史蒂夫和罗伯将在听完后谈论新的梦剧场专辑。,"史蒂夫五分钟前买了新《梦剧》专辑。罗伯的桌子上有这张专辑, ready for the first listening。"
test_00034,"Peter: Can you send me the link of your beauty shop?
Joy: Definitely
Joy: It is https:// *********
Joy: Hope you will like it and feel free to ask any questions.
Peter: Okay. Let me look at it.",Joy sent Peter the link to her beauty shop.,乔伊把她美容店的链接发给了彼得。,乔伊的美容院是 https:// 。
test_00035,"Ethan: who's going to see solstafir?
Noah: solstafir! when?
Noah: i had no idea they were playing
Archie: I'm not :D.
Leo: i'm going ofc!
Ethan: 21.11
Noah: that's a wednesday... ehh...
Noah: i'll have to see, might have to stay late at work...
Leo: nooo you have to come
Ethan: yeah you have to!
Archie: There are better concerts :P.
Noah: i know, i would really like to see them, but yeah
Leo: archie... :P
Ethan: don't mind him :P
Noah: i'll see and let you know, it would really suck to miss them
Leo: yup!
Ethan: yup! x2","Ethan and Leo are going to see Sólstafir on 21.11. Noah would like to go too, but he might have to stay late at work.",伊森和里奥要在21点11分去见索斯塔弗。诺亚也想去，但他可能得工作到很晚。,诺亚和阿尔奇将在21点11分去看索尔斯泰菲尔乐队的音乐会。
test_00036,"Bradley: haha look a cat invaded the pitch at Goodison <file_other>
Jill: hahahaha
Julia: what a sweet little black ball of fur
Jill: here's the video :D <file_other>
Julia: haha
Bradley: and the commentary :D
Bradley: that's the best entertainment Everton fans have had all season :D",A sweet little black cat got into the pitch during the Everton's football match.,在埃弗顿的足球比赛中，一只可爱的小黑猫钻进了球场。,布拉德利给吉尔和茱莉娅发了一张猫入侵古迪森球场的视频。
test_00037,"Barbara: I'm home already, you can come over
Sean: May I bring the dog?
Zac: I'm on my way
Barbara: sure you can, Sean
Barbara: do you want to stay overnight?
Sean: great!
Sean: I thought about it
Barbara: nice!","Barbara, Sean and Zac are meeting at Barbara's place tonight. Sean will bring the dog. Sean and Zac will stay overnight.",芭芭拉、肖恩和扎克今晚在芭芭拉家见面。肖恩会把狗带来的，肖恩和扎克会在这里过夜。,芭芭拉想让肖恩过来过夜。
test_00038,"Jake: dude, I just pulled a TOTW
Jake: my first this year!
Tom: grats!
Tom: gonna sell it?
Jake: yeah
Jake: I'll try him in one or two matches
Jake: he's not a good fit for my squads
Tom: you'll have plenty of coins to buy someone that fits
Jake: that's the plan
Jake: I got lucky with this one
Tom: my pull luck sucks this year
Tom: not a single great player 
Jake: you're good at the game
Jake: you don't need help :P
Tom: I like shiny things :P",Jake has got his first TOTW this year. Tom doesn't have a great team. ,杰克今年拿到了第一个totw ，汤姆的团队并不出色。,"杰克想买一个托特,因为托特不适合他的球队。"
test_00039,"Phil: Good evening Deana! Many thanks for this nice card from you. Constantine was very happy!
Phil: Are these sunglasses also from you?
Deana: I thought they belonged your Cathreen!
Phil: Nope. She says they aren't hers.
Deana: Mine either. Look, maybe you feel like keeping them?
Deana: I seem to have so many sunglasses...
Deana: 8‑D
Phil: Where did you find them, possible that they belong to Adrian?
Deana: In this empty place above the radio. In the very back.
Deana: If Adrian wants it, no pro!
Deana: :)
Phil: :))
Deana: Exactly!
Phil: Ok, they don't belong to any of us, and nobody else drove your car. But we can look after these sunglasses.
Deana: Glad to hear it!","Phil received a card from Deana. Constantine was happy. Phil has sunglasses, that Deana found in the back above the radio. Deana and Phil don't know who they belong too. Phil will keep the sunglasses.",菲尔收到了迪安娜的一张卡片，康斯坦丁很开心。菲尔有副墨镜。蒂娜在后面收音机上面找到的。迪安娜和菲尔也不知道他们属于谁。菲尔会留着这副墨镜的。,菲尔和黛安娜收到了菲尔的一张太阳镜卡片。菲尔认为戴安娜的太阳镜是凯瑟琳的。黛安纳发现它们是阿德里安的。
test_00040,"Mell: Hi there! How are you doing?
Gloria: Hi Mell! We are fine, just the daily grind ;) And yourselves?
Mell: Not much happening either. An odd phone call with the kids. Or Tad's sister:(( Not much otherwise.
Gloria: Yeah... Life has become so quite since the kids are out of the house. We had more to get used to it. But it must hard for you. Especially you I mean.
Mell: I don't know. Sometimes I even forget that I should be missing them. In a way I do like this peace and quiet now.
Gloria: Small wonder. You had a hell of a time with them just before they went to college. I'd say you need to recover now.
Mell: I guess you're right. But maybe I should feel guilty or something?
Gloria: Don't be silly! You are a fantastic mom.
Mell: Thanks Gloria.
Gloria: Anyway I'm happy to hear from you again. We should really have a nice do again.
Mell: YES! Splendid!
Gloria: The weather is just brilliant, perfect for a BBQ. What do you think?
Mell: I'm all for it. At my place? I'd love it.
Gloria: Can't be better. I love your garden.
Mell: We're thinking about extending the terrace. I must show you my drawings, just a few ideas. It would be great to hear your opinion.
Gloria: I'd love to. But you know how little I know about garden design, or however you call it.
Mell: We'll have a look at them. Now the BBQ. At the weekend I suppose?
Gloria: Let me check the calendar. Here's our family planner. A horrible name, isn't it? So this weekend suits us fine. At the next one, on Saturday, Mark has penciled something in but I can't read it. So what about this Saturday?
Mell: Perfect. At least we know the weather holds. Shall I do the food and you the drinks?
Gloria: And I'll get us some dessert as well. 
Mell: Very good indeed. It's always so easy going with you.
Gloria: Ta! You were thinking about Tad's sister?
Mell: I'm afraid so. I'm so happy she moved up to Scotland and I don't have to put up with her trying to run my household. Tad feels relieved too.
Gloria: Good riddance! I could really never warm up to her.
Mell: Nobody can! Anyway she's gone and we're going to have a fantastic barbecue. Without her.
Gloria: Yes, we are. Oh I'm so happy you've phoned!
Mell: Looking forward to our BBQ on Saturday!
Gloria: So long!","Gloria and Mell plan to have a barbeque at Mell's place on Saturday. They are happy, because Tad's sister moved to Scotland. Mell needs Gloria's advice on garden design.",格洛丽亚和梅尔计划星期六在梅尔家吃烧烤。他们很高兴，因为泰德的姐姐搬到了苏格兰。梅尔需要格洛丽亚对花园设计的建议。,"格洛丽亚和塔德的妹妹一起烧烤了。格洛里亚正在考虑扩建她的花园。梅尔和格洛莉亚计划周六去吃烧烤,格洛里的妹妹搬到了苏格兰。"
test_00041,"Callan: Something's wrong with my Samsung S8.
Wade: What, exactly?
Callan: All I get is a black screen.
Wade: Did you drop it or something?
Callan: I think I know, this has happened before.
Wade:  It did? What happened before?
Callan: It overheats and then it takes a while for it to restart again..
Wade: That sucks.. Be carefull with the battery, it can be dangerous.
Callan: It sure can, but I'm going to the store and let them see it. It's still under warranty.
Wade: Will you lose all your stuff?
Callan: No, I always back up my files.","Callan's Samsung S8 overheats, so he's going to the store to get it repaired.",卡伦的三星s8过热了，所以他要去店里修理。,"卡兰的三星s8坏了。它过热,需要一段时间才能重新启动。卡兰会去商店看看它。它还在保修期内。"
test_00042,"Anna: Mum, I have a awful stomachache.
Joanna: Oh, dear, when did you get it?
Anna: At night, and it won’t stop:-(
Joanna: Is it something you ate?
Anna: Maybe. I'm not sure.
Joanna: What did you have for breakfast?
Anna: The usual, cereal with milk and a banana.
Joanna: Maybe the milk was bad.
Anna: It didn't smell bad.
Joanna: Maybe the banana was bad.
Anna: No, the banana was delicious.
Joanna: Maybe you just need to go to the bathroom.
Anna: No, that's not the problem.
Joanna: Maybe it will go away in a little while.
Anna: I wish it would :-(
Anna: Hopefully. If not, maybe we should go and see a doctor.
Joanna: Yeah, I think so...
Anna: I’ll get you a hot tea with some fresh mint leaves. Hope it will help. 
Joanna: Please do, I’m in my room...
Anna: Will be in ten minutes:-)",Anna got an awful stomachache at night but she doesn't know its cause. Her mom Joanna will make her hot tea with some fresh mint leaves.,安娜夜里胃疼得厉害，但她不知道其中的原因。她的妈妈乔安娜会用新鲜的薄荷叶为她做热茶。,安娜肚子疼。乔安娜十分钟后会给安娜带热茶。
test_00043,"Sam: Where are you?
Kate: downstairs
Sam: already?
Kate: sure, come down
Jeff: We're in the little room next to the reception
Kate: have you noticed the woman making a cake?
Sam: yes
Kate: did you see the cake?
Sam: I didn't pay attention, why?
Kate: there was a huge penis on it
Kate: made of marzipan or sth
Sam: hahah, really?
Kate: when I noticed it, I started laughing
Kate: so she laughed too
Sam: nice
Kate: I asked her what's she doing
Kate: Somebody ordered a cake with a huge penis with balls and chocolate hair
Sam: hahah, I must see it!
Kate: she is working in the small room under the stairs
Sam: right, there is a kitchen",Kate and Jeff are downstairs in a room next to the reception. Some lady is making a marzipan cake. ,凯特和杰夫在楼下接待处旁边的一个房间里。有位女士正在做杏仁蛋糕。,凯特在接待处旁边的一个小房间里。山姆没有注意到那个女人在厨房的楼梯下面做了一个蛋糕。
test_00044,"Mia: God, he keeps talking about the stupid wall
Jennifer: I think he's just senile
Karine: unfortunately it's much more
Karine: this populist strategy to scare people with a minority
Karine: and then present himself as the only savior
Peter: Karine is right, I think he's not as senile and stupid as we would like to believe
Mia: so it's even worse - he's pure evil
Peter: possibly yes
Karine: I really think so, because it's not only about politics anymore
Karine: he is destroying the Earth
Karine: trying to shake the world's order
Jennifer: but he's also quite stupid
Jennifer: and the dangerous thing is his self confidence
Jennifer: he's persistence 
Jennifer: and ignorance
Karine: but we have a chance to change it
Karine: maybe Trump will be over soon?
Mia: we will see
Mia: but we should do anything to win the next elections
Karine: everything!","Mia, Jennifer, Karine and Peter do not like Trump.",米亚、珍妮弗、卡琳和彼得不喜欢特朗普。,米娅、詹妮弗和卡琳对特朗普的当选感到失望。
test_00045,"Pedro: batman or superman??
Alex: honestly..  neither
Pedro: WHAT??
Alex: i honestly like the flash
Pedro: whats so good about the flash :P
Alex: duuude, he can do almost anything
Pedro: not anything
Alex: yea im sure batman can run as fast -_-
Pedro: superhuman speed? thats your pitch?
Alex: that speed opens up the whole multiverse for him.. you seriously dont get how powerful he can be
Pedro: yeah i get your point",Alex prefers the Flash to Barman and Superman thanks to his speed.,阿莱克斯更喜欢闪电侠，因为他的速度。,佩德罗认为蝙蝠侠跑得更快。
test_00046,"Damian: are you downtown?
Ethan: yes
Ethan: why?
Damian: can you buy me a kebab?
Damian: i'm starving
Ethan: why won't you cook something for both of us, huh?
Damian: man, give me a break, i had a rough day
Ethan: ok ok
Ethan: but i really wish you weren't such a parasite
Damian: i'll change, scout's honour",Ethan will buy Damian a kebab. Damian had a bad day.,伊森会请达米安吃烤肉串，达米安今天过得很糟糕。,"达米安饿了,所以他会给伊森买个烤肉串。"
