,reference,prediction,rouge1,rouge2,rougeL,bs_f1_raw
12,查利在大学主修葡萄牙戏剧。他和其他同学正在准备一部由姆罗热克翻译成葡萄牙语的戏剧。,Charlee正在准备葡萄牙语的表演 作者是Mroáček,32.73,26.42,32.73,67.88
13,艾拉租了辆车，这让她和汤姆能够更快地完成很多事。,Ella租了辆车去乘车,26.67,21.43,26.67,63.54
14,保罗会和卢克分享他的netflix账户。作为交换，卢克会出部分订阅的钱。保罗会把他的银行账户信息发给卢克。他和女朋友的度假明天才结束。,"保罗正在寻找Netflix一家的新成员。 卢克会在星期天寄给他登录和密码。 他还会寄给Paul银行帐户的细节, 以便每月给他汇钱。 保罗和他的女朋友在度假。",48.28,17.54,31.03,74.25
15,格雷格和贝茜今天都有很多事要做，所以他们不能去幼儿园接约翰尼了。但是，今天本该轮到格雷格来接，他会努力找一个解决方案。,他周二会去幼儿园接强尼 贝茜不能接他 因为她要工作很长时间,39.51,17.72,22.22,66.74
16,伊森托比和马修在取笑斯科特。,伊森给马歇尔、托比和斯科特发了一张 他自己和斯科特的照片,46.15,27.03,41.03,72.41
17,通知期限内伊戈尔有很多事情要做，对此他感觉很消极。约翰则认为他应该做自己必须要做的事。,伊戈尔有很多工作要做 他还有两周时间,31.58,21.82,31.58,69.52
18,克拉拉正在复习《亲爱的白种人》，还强烈推荐给了妮拉。,"克拉拉正在Netflix上看《亲爱的白种人》。这是关于一个虚构的常春藤大学 和一个住宅区的学生。有一个黑脸党, 由一群白人精英学生主持,他们失控了。黑人学生试图打破它, 有个叫雷吉的家伙,在和白人学生争吵后, 被校园警察用枪指着。",20.69,15.79,20.69,65.14
19,迈克今天把车停在了车库。欧内斯特松了一口气，因为有人刚刚撞上了一辆红色本田车，看起来很像迈克的。,Mike今天把车停在车库 有人撞了车,44.83,28.57,44.83,69.19
20,贝丝想组织一个女生周末来为妈妈庆祝40岁生日。她还想到黛德丽的美容院工作。于是黛德丽每周六让她去几小时积攒工作经验。她们准备明天碰个面。,贝丝想尝试在美容院工作 作为工作经验。 德尔德雷正在寻找周六的女孩。 玛克辛管理美容。 贝丝明天放学后会和她见面。,41.07,20.0,26.79,72.09
21,格洛丽亚马上要考试了。整整4个小时。艾玛给她发了一个网站的链接，上面有往年的一些考题，这样她就可以更好地备考了。,Gloria和Emma正在准备考试 他们有四个小时准备,20.29,11.94,17.39,61.9
22,亚当和卡伦担心梅患上了抑郁症。卡伦会给自己的心理学家朋友打电话，征求她的意见。,"凯伦建议她去看专科医生,但梅不想看。凯伦会叫心理学家去咨询。",28.57,13.11,25.4,70.29
23,马克向安妮隐瞒了自己的年龄。他40岁了。,马克对安妮撒谎了 有关他的年龄 安妮今天看到他的护照了,47.62,20.0,47.62,75.99
24,下周是沃顿的生日。奥古斯丁、达琳、希瑟和沃克想给他买一台碎纸机。沃克会先确定沃顿是不是真的想要这个礼物。,"达琳,沃克和希瑟会给他买碎纸机",45.9,23.73,32.79,76.37
25,凯利很害怕芬兰雕塑花园里的人物，因为她觉得那些人物的脸非常病态。对奥利来说，这就像日本的人偶村，令人毛骨悚然。,"奥利,凯利和米奇要去芬兰的雕塑园,凯利的家很恐怖,因为人手大小和面孔很多。奥利去日本的南高罗村。",40.86,15.38,36.56,70.05
26,西拉打电话给一个人，对方没有接。,塞拉看不清电话号码,26.09,9.52,26.09,66.57
27,贝拉和埃里克拒绝了一个客户的要求。他们老板很赞赏这个决定。他会吸引新的客户来。,Bella的老板很感激他们决定驳回客户的要求。,48.15,30.77,29.63,73.22
28,艾玛准备在去纽约的公交后排座位上打个盹。她和本下午4点半左右到。本会在她到站前15分钟叫醒她。,Emma在公交车的稀有地方 她会睡午觉 Ben会在4点15分左右叫醒她 他们4点半左右会到纽约,51.85,25.32,29.63,72.76
29,杰西、梅尔文、李和玛克辛将参加一个名为“避难所”的基金会举办的圣诞慈善活动，帮助那些逃离虐待的妇女和儿童。,"Jesse, Melvin, Lee, 和Maxine 准备加入避难所 帮助那些逃脱虐待的妇女和儿童",49.32,36.62,49.32,73.98
30,玛丽的钱用完了，卡特打算一小时后借给她一点。,卡特一小时后会借给玛丽几盒,60.61,38.71,48.48,76.75
31,宝拉帮助夏洛蒂纠正了“natal lily”的发音。,"夏洛特问保拉怎么念""Natal Lily""",38.46,16.67,30.77,68.28
32,杰克和梅一会儿要喝鸡尾酒。,杰克和梅晚点去喝一杯,54.55,30.0,45.45,75.54
33,玛格丽特头疼得厉害，她想让杰克给她买些止痛片。,玛格丽特头痛得要命 杰克会给她买止痛药,66.67,43.24,66.67,85.61
34,瑟杰正在去取今晚拍摄用的电影设备的路上。他和安德烈迟迟未向公司支付大笔款项。两人会尝试用信用卡支付给公司。,Andrei还有一笔未付清的帐单要付给公司,24.24,9.38,18.18,61.85
35,玛蒂娜建议不要养仓鼠。,Janice的儿子要她给他买只仓鼠做生日礼物,22.22,8.0,22.22,63.18
36,玛丽玩过《龙腾世纪3·审判》，卢卡斯玩过《龙腾世纪2》。丹尼尔开始玩《龙腾世纪3·审判》。,丹尼尔刚开始扮演地方检察官 玛丽和卢卡斯很喜欢,35.71,22.22,17.86,64.84
37,朱迪觉得自己总是被坏男人吸引。,"安德鲁想操她,但不再打电话发短信了 布鲁斯很可爱,但朱迪感觉不到蝴蝶",13.33,4.65,13.33,59.88
38,莱利和詹姆斯在电视上看到克洛伊经历了一次蜕变。,Chloe在电视上 James找到了,38.71,20.69,38.71,66.03
39,蒂娜将乘晚间航班回家。阿拉正在去开会的路上。她会让蒂娜知道事情的进展。,Ala正在去开会的路上 她会让Tina知道事情的经过,61.54,56.0,61.54,77.82
40,塞巴斯蒂安过得很开心，他和凯文分享了这份快乐。,"塞巴斯蒂安和他的搭档一年前搬到这里。 塞巴斯蒂安满足于他的决定。 凯文想要中彩票,但他从未中过彩票。",33.85,15.87,24.62,69.54
41,儿子这个周末要来看他父母。,儿子这个周末会试着回家,52.17,47.62,52.17,79.03
42,奥拉正在古巴享受自己的旅行，但是她在那儿的网络连接有点问题。莫莫已经伤愈。奥拉不喜欢古巴的衣服，但她会像凯特建议的那样，为妈妈在古巴找一件衬衫。,"奥拉和莫莫正在前往古巴旅行,莫莫已经从伤痛中恢复过来,奥拉在老挝失去了她的围巾,凯特建议奥拉应该买一条新的围巾。",40.68,18.97,35.59,74.1
43,迈克会向玛丽要约翰的新号码。,Mary给了Mike John的号码,28.57,10.53,28.57,66.01
44,约瑟夫给艾拉发了一张乌耶克·雅内克家双胞胎奶牛的照片，艾拉很高兴。,Joseph给Ella寄了婴儿奶牛的照片 Wujek Janek有双胞胎,41.67,26.09,29.17,69.38
45,乔希本以为是斯蒂芬不小心拿走了他的笔记本。但其实是杰克，明天他会把笔记本带过来。,Stephen拿走了Josh的笔记本 杰克明天会带过来的,54.55,37.74,54.55,72.74
46,之前阿黛尔得到了一只新的可爱的拉布拉多狗，4个月大，名叫秋伊。她的猫咪们和她保持着距离，而小狗波比和露露都很像它们的妈妈秋伊和斯皮迪，都想出去玩。,Adele换了个4个月大的饼干实验室 她叫他Bones 猫跟猫保持距离 Poppy和Lulu似乎是他的母亲,29.41,10.0,25.49,65.83
47,克里斯蒂安和塔博拉在玩一个关于他们自己最喜欢什么的游戏。,克里斯蒂安和塔博拉在玩游戏,65.0,57.89,65.0,81.31
48,凯茜今晚10点来取眼镜。,凯茜把太阳镜留在了布罗克家 她今晚十点会过来接他们,41.18,12.5,35.29,74.97
49,佩特拉今天上班的时候很困，安迪觉得一天都很无聊，埃兹吉则在工作。,佩特拉困了 需要睡觉 但今天没人在办公室工作,40.82,17.02,36.73,69.92
50,尼克觉得简长得很漂亮，于是邀请她喝一杯，以便自己更好地了解她。但是简拒绝了他，这让他很不高兴。于是他建议简忘掉他们之间的谈话。,Nick想和Jane喝一杯 但她没那么绝望,16.9,5.8,14.08,58.27
51,茱莉亚知道蒂姆是同性恋，但亚当和内特不知道。,Tim是同性恋 Adam的朋友看到Tim和一个男人在一起 Nate和Julia不知道,34.78,22.73,34.78,63.83
52,莉莉要迟到了，盖布瑞尔会给她点三文鱼罗勒意面。,莉莉会迟到 所以Gabriel会给她点吃的,45.71,30.3,45.71,74.81
53,席琳不在家，但她会先打电话给卡拉再去看她。,Celine晚上会去Cara家,23.08,0.0,15.38,61.17
54,德里克20分钟后到克雷格家帮他处理电脑故障。,德里克会在20分钟内 帮助克雷格的电脑,64.86,40.0,59.46,78.67
55,艾比盖尔不会带孩子们一起出去散步，因为雾霾预警app显示，今天雾霾已超标30%。,Emma想和孩子们散散步 但是Abigail不认为这是个好主意 因为烟雾警报应用程序显示 今天超过标准30%,46.58,19.72,43.84,70.95
56,保罗将按照辛迪的建议买红玫瑰。,保罗会得到红玫瑰。,45.45,30.0,45.45,78.4
57,詹妮把信用卡忘在玛丽的店里了。,Jenny把她的信用卡留在Mary的店里 她一来就去拿,48.48,25.81,48.48,71.99
58,今天是汤姆的生日。劳拉和加里下午5点左右到他家，并在他5点半回家前准备好一切。加里已经付过蛋糕的钱了，劳拉将去取蛋糕，并且也会买气球。,Lara下午5点会来参加Tom的生日派对 她会拿起蛋糕拿气球 加里会付钱买蛋糕,43.01,19.78,21.51,68.05
59,保罗和劳拉见面时迟到了，现在劳拉不想再等了。,保罗已经等了30分钟了 保罗就快到了 劳拉已经等不及了,40.91,19.05,36.36,68.46
60,萨尔玛和休喜欢猫的表情包。,休和萨尔玛就像最新的猫咪,58.33,18.18,33.33,72.02
61,今天出结果了，马特和奥利弗都考进了斯坦福大学，彼得没有。,马特和奥利弗进了斯坦福 彼得没进斯坦福 所以他得去找其他大学,60.38,47.06,52.83,74.92
62,因为史密斯请了病假，又找不到人代课，所以英语课取消了。,Smith请病假了 所以他们今天没有英语,41.03,16.22,35.9,67.47
63,布兰登的信用卡丢了，银行把账户冻结了。他得花点时间才能拿到新卡。但是他现在需要钱。卢克破产了，但伊恩会借给布兰登一些钱。,"布兰登的信用卡丢失了,他在银行堵住了,但是要花时间才能拿到新信用卡,卢克和伊恩会借他100美元",68.75,44.68,56.25,83.36
64,帕特里恰和伊内兹在意大利餐厅度过了一个愉快的夜晚。戈西亚选的地方不错。艾丽西娅还没去过那家新餐厅。他们都想在两周后的星期三晚上再去一家韩国餐厅。,"Inez、Alicha、Gosia和Patrycja在Inez送来的新餐厅享受晚宴,",16.47,4.82,16.47,59.55
65,安娜明天想去看望奶奶。凯瑟琳会和她一起去。她起床后会给安娜打电话。,凯瑟琳醒来后会打电话给安娜 安娜明天会去看她奶奶,79.25,47.06,30.19,80.93
66,埃德森正在订票。,Edson现在要订票了,42.86,16.67,42.86,69.67
67,简想4点半就走，而不是等到5点，因为谷歌地图提示300公里的车程至少需要3小时，她不想迟到。她会在正门处等史蒂文。,简和史蒂文四点半见面 而不是五点半,30.3,15.62,21.21,67.14
68,苏珊一直在工作，现在刚休息一下。摩根邀请苏珊参加下周在麦迪逊广场花园hulu剧院举行的魔力红乐队音乐会。苏珊同意了。,Morgan和Suzanne下周去参加马龙5号演唱会 Morgan有两张票,14.08,5.8,11.27,58.87
69,茱莉亚读的最后一本书是2014版的《再死一次》。市图书馆会举办一个苔丝的见面会。,Liam在2014年向Julia发送了一本书的档案。城市图书馆正在组织与Tess的会面。Julia将在他们的Facebook上查看。,36.11,14.29,27.78,65.99
70,阿里把钱包落在默罕默德家，默罕默德明天会把它带过来。,Ali昨天把钱包留在Mohammad家 明天Mohammad会带回来,48.78,15.38,48.78,70.63
71,琳达和劳拉明天要去一家意大利餐馆。,萝拉和琳达明天会去意大利餐厅 吃意大利面条和布朗尼,55.0,26.32,45.0,83.47
72,安娜办了一个生日派对，时间是11月6日19:30。,"Natalie, Martin, Margot, Mia和Adam 将于1930年11月6日 参加安娜的生日派对",47.62,35.0,28.57,71.19
73,米娅今晚下班后要和她的女性朋友一起出去。如果她愿意，艾略特会来接她。,米娅和艾略特今晚下班后出去喝酒,56.52,36.36,39.13,74.8
74,杰登向布伦南解释了她为什么不想怀孕。,"Jayden现在不想生孩子 他希望他能做爱,等待孩子,同时过正常的生活",9.09,4.76,9.09,56.96
75,美国昨晚赢了，英国明天2点和克罗地亚比赛。,"Steve和Gulab在讨论足球,美国昨晚赢了,英国和克罗地亚明天两点要比赛",76.6,57.78,63.83,84.16
76,约翰忘了带钱包，他要艾拉10分钟内给他送过来。,John十分钟后就来了 希望Ela给他墙壁,34.29,12.12,22.86,62.46
77,马克告诉他妹妹，玛丽正在做一份线上的工作。他妹妹正在找人确认这件事。马克觉得她就是嫉妒。玛丽讨厌马克的妹妹。,Mark告诉他妹妹玛丽在网上做工作 她很嫉妒 她试图联系Mary工作的员工,41.03,21.05,38.46,71.75
78,菲奥娜想为克里斯准备晚餐。她想起了蒂娜做的馅饼。蒂娜会帮她做的。,菲奥娜会为克里斯准备一个妓女 蒂娜会帮她,58.33,47.83,58.33,77.2
79,安妮特病了。詹姆斯要去jesus酒吧。奥利在酒吧附近找不到人。,佩达尔 詹姆斯 安妮和海伦去耶稣酒吧喝酒 安奈特病了 所以她不能加入,48.15,23.08,29.63,71.65
80,瑞安和塞巴斯蒂安担心乌克兰的政治局势。,瑞安和塞巴斯蒂安担心乌克兰的局势。,94.12,87.5,94.12,97.52
81,费恩和查蒂明天2点去象堡，他们会在正门碰头。,"Finn和Zadie明天要去大象和城堡购物中心,他们将于下午2时在主要入口开会。",43.14,8.16,35.29,71.5
82,雅各布还没有听哈利3天前发给他的歌。他今晚晚些时候会听，然后告诉哈利他的看法。,哈利三天前给雅各送了一首歌 雅各今晚稍后会听,45.61,18.18,35.09,73.49
83,雷被锁在房间里面了，但他要去尿尿。麦克斯的室友会来放他出去。,"有人从外面锁了门,所以Max不能让Ray出去 Max会让他的室友给他开门",40.0,11.32,25.45,68.97
84,金姆正要告诉妈妈，哈利买了一个新沙发，他需要灰色的枕头。,金姆会告诉他妈妈灰色是最好的颜色,48.78,20.51,43.9,69.95
85,乔什想买个平板，但不知道该选哪个牌子。按照布莱恩的说法，其他品牌比苹果更好，他能弄来更便宜的三星平板电脑。乔什下班后会给布莱恩打电话谈谈这事。,布莱恩推荐三星、小美和索尼,12.99,8.0,12.99,60.73
86,娜塔莉、奥拉维尔和佐伊正在做新年前夜的计划。娜塔莉想要有格调的。但奥拉维尔不喜欢歌剧。他们想去苏豪区蒂芙尼的聚会上吃早餐。,娜塔莉和奥拉弗尔会去索霍除夕,25.71,8.82,22.86,69.69
87,弗兰克试图激励安迪，为明天的测验学习。,Andy明天有测验,34.78,19.05,34.78,64.56
88,金需要在华沙弄些新鲜的鱼。他会到餐厅打听货源。他在计划一些特别的事情，但暂时不会与玛戈特分享任何细节。,"金姆正在华沙寻找一个她可以买到新鲜的面条鱼的地方。玛格特建议波尔纳街的市场、餐厅菜单,并询问其来源。金姆将烤鱼作为特殊场合。",32.69,9.8,23.08,69.6
89,汤姆下午2点会在椭圆形会议室与本会面。他会先告诉对方把文件带来。,汤姆和本下午2点在奥瓦尔厅开会,40.0,18.6,35.56,71.17
90,阿什丽得到了这份工作。,Ashleigh找了份工作 她和Peter要去电影院,33.33,18.18,33.33,63.66
91,丹娜度过了一个无聊的周末，现在正在看电视。里德在床上躺着。他明天有空。,"Danna的星期六很无聊。她打电话给她5-8个朋友,但他们忙碌或空闲。Danna没有电视机,因为他们的订阅过期,而且从未续签。Reed在床上。他明天休息。",34.09,13.95,22.73,68.05
92,艾丽维亚最近很沉默。她在写论文，但是没法集中精神。她会试着按照安东尼奥的建议，先不多想，动笔写起来。,"Alivia正在研究她的论文,她很难找到研究材料。她觉得这个话题很有趣,但当她应该写的时候,她空白了,无法输入一个单词。",21.51,2.2,12.9,64.55
93,麦蒂会按照约翰的要求买一个白面包和苹果。,玛蒂在阿斯达 约翰会买白面包和苹果,62.86,36.36,57.14,79.44
94,艾略特现在没空和乔丹说话，他很忙。晚上6点他会给乔丹回电话。乔丹要去参加布拉德的葬礼，布拉德因肝癌去世了。,乔丹去参加布拉德的葬礼 艾略特今晚8点给他打电话,56.34,34.78,30.99,77.43
95,弗洛要到6号才能预约到做头发。她担心自己头发会变成灰色，所以必须在特易购买一套补色工具。,Flo要到6号才能进沙龙 她要灰色了 吉娜会在Tesco给她买个触摸工具包,40.0,20.59,37.14,68.83
96,罗伯正在杂货店买东西。安让他买一根黄瓜、一些西红柿、香蕉和苹果。,"罗布在杂货店,安不能和他一起 因为她有个会议,罗布会买些水果和蔬菜",41.38,10.71,34.48,72.36
97,梅兰妮很久没有性生活了。马文开了个不恰当的玩笑。,Melany不记得她上次上床是什么时候了,10.81,0.0,5.41,56.38
98,埃里克、萨曼莎和诺亚的教授正在点评最近新闻里报道的一桩丑闻。,"诺亚是最聪明的人 活着,所以他知道 这将发生。",21.28,4.44,17.02,58.71
99,根据杰克所说，理应由大卫承担责任。等杰克回家后他们再谈。,Jacky回家后会打电话给David,17.14,12.12,17.14,59.72
100,里克和海伦人在坎昆，两天后飞往哈瓦那。克里斯和里克会在墨西哥的下午3点通过skype聊天。,瑞克和克里斯在去哈瓦那的两天前在坎昆 他们明天下午3点会到Skype,65.67,33.85,35.82,76.87
101,英把自己十年挑战的照片发给了海伦、诺玛和扎祖 。,小英有十年的经验,27.59,7.41,27.59,61.71
102,丹尼尔六点后会去找米茜喝酒。,Missy6点下班 她和Daniel晚饭后会一起喝酒,34.48,14.81,34.48,66.58
103,阿黛尔放学后得打扫仓鼠笼。,Adelle放学后会清理仓鼠笼子,52.17,38.1,52.17,80.64
104,玛雅会在药房为伦道夫买5包耳塞。,玛雅会在药店给兰道夫买耳塞,71.43,53.85,71.43,89.41
105,大卫下周回家过圣诞节。简不知道给父亲买什么。所以大卫打算在网上订购一个ipad。,"大卫下周要回家过圣诞节 他会为他爸爸订个便条,然后运回家",40.0,27.59,40.0,74.22
106,伊莎贝拉非常感谢贝蒂昨天和她分享工作信息。如果贝蒂想和她共事的话，她会给贝蒂发自己公司的邀约。,伊莎贝拉喜欢听贝蒂昨天的工作 伊莎贝拉想和贝蒂一起做点什么,44.44,25.71,41.67,72.02
107,霍莉和艾米打招呼，但是艾米工作很忙，现在没有时间聊天。,Amy晚点会回Hollie的,0.0,0.0,0.0,51.68
108,亚历克斯会在两小时内和胡达一起去游泳。,胡达和亚历克斯两小时后去游泳,81.25,53.33,62.5,83.48
109,珍妮特、妮可、艾莉森、阿琳、莱斯利、罗斯、埃里克和苏都在抱怨唐纳德 · 特朗普和他在典礼上的缺席。,珍妮特为唐纳德·特朗普感到羞耻 因为他没来参加仪式,32.26,23.33,32.26,70.69
110,职业选择太多，让拉什很困扰。老师建议他选择自己感兴趣的东西。,"Rashi对事业选择感到困惑,老师建议他根据兴趣选择职业。",60.0,37.5,44.0,78.83
111,科尔宾向负责校园暴力的部门报告说，他的朋友遭到了殴打。,Corbin想报告Jungang高中的学校暴力情况。成为暴力受害人的学生是他的朋友。Dimitri现在会打电话给Corbin。,34.92,16.39,28.57,67.99
112,玛尔塔的电脑该修了。在乔尔的建议下，她会和辛西娅或着艾琳娜联系，因为他们可能认识修电脑的人。,Pablo这周休假 所以她会问Cynthia或Elena,10.91,3.77,10.91,57.84
113,快到爸爸50岁生日了，安还不知道该给爸爸送什么生日礼物。菲奥娜设法帮她，向她推荐了彩弹射击比赛。,"安正在计划一个惊喜生日派对 给她的父亲,他正在50岁 她计划与全家人共进晚餐,但这还不够。菲奥娜建议一些团队游戏, 蹦蹦跳或跳伞,骑马或彩弹。",28.85,11.76,17.31,67.28
114,法蒂玛很担心詹森和艾琳。艾琳遇上了一些问题。但林肯不希望法蒂玛为别人操心太多。,"Jenson对Alenne不满意,Alene很沮丧,不会去看医生,Fatima担心Alene和Jenson分手。",16.67,3.45,13.33,58.27
115,鲍勃会帮助丽莎打扫房子，他负责浴室那部分。,丽莎鲍勃想打扫房子 鲍勃帮忙弄脏了房子,48.65,28.57,32.43,75.1
116,尽管都受伤了，但卢克和马蒂奇还是想帮助球队。他们会在卡林顿碰头，然后去教练办公室。,Luke和Martial会去Jose的办公室 让他知道他们明天可以去选队,30.0,10.34,20.0,61.07
117,艾米丽和朱莉互祝对方圣诞快乐。,朱莉祝艾米莉圣诞快乐,75.0,45.45,58.33,83.4
118,瑞奇的新邻居人很好，但是太吵了。他们养了一只鹦鹉，整晚都很吵。,Ricky不喜欢他隔壁的新邻居,26.32,16.67,21.05,62.47
119,桑德拉和布伦达25年前曾在服装厂一起工作。桑德拉还住在金斯诺顿，布伦达现在住在斯托克。她丈夫比尔五年前去世了。他们下周六11点左右在伯明翰见面吃午餐。他们想组织一次李斯特女子重逢会。,"布伦达现在住在斯托克,90年代末搬离布鲁姆。桑德拉和她的丈夫住在国王诺顿。桑德拉有4个孙子,年龄分别为2岁、4岁、9岁和15岁。布伦达的丈夫比尔5年前去世了。布伦达和桑德拉将在下星期六11点见面。",50.89,33.53,34.32,76.71
120,琼和约翰星期四晚上8点左右去看《一个明星的诞生》。,周四晚上八点左右 John和Joan会去看《星诞生》,61.54,32.43,56.41,78.37
121,唐娜今晚会去拜访乔治，讨论一件私事。,乔治今晚想和唐娜见面 讨论一个微妙的问题,51.43,30.3,28.57,77.51
122,路易斯和法比安谈话结束了，因为接到了妈妈的电话。,路易必须走 因为他妈妈在给他打电话,42.11,22.22,42.11,70.43
123,艾琳会带克里斯特尔的儿子去买衣服。,艾琳要和她儿子去购物,38.46,25.0,38.46,78.23
124,托尼把他家猫咪的照片发给了艾米和卢卡斯。,Tony给Amy和Lucas寄了一只猫的照片,43.75,13.33,25.0,66.92
125,马特买了一张大卫·波西亚德洛音乐会的票，托马斯也要去。,Matt拿到了去Dawid Podsiadlo的票 他会在那里见到Thomas和Maria,23.26,4.88,13.95,58.19
126,有些女孩因为被推进了泳池，不得不把衣服脱掉。,克里斯把一些女孩推进游泳池,48.48,25.81,42.42,74.09
127,米科和杰夫要去参加村里的聚会，杰夫开车。,Jeff Lia和Mico要去参加乡村派对,40.0,21.43,40.0,65.83
128,保罗可以担任周六比赛的教练，因为马修还没有找到合适的人选。,保罗周六会把比赛发沙发在沙发上,28.57,15.0,28.57,63.58
129,佛莱迪下午3点15分左右来接卢克。,3点15分Fred会接Luke 雅各工作到5点,33.33,21.43,33.33,68.53
130,瑞安和杰克要去参加一个舞蹈表演的选角。,杰克会和瑞安去选角,59.26,24.0,37.04,77.16
131,乔安妮准备回法国老家度假。她想让妈妈重新高兴起来，因为她的父母几个月前分居了。伊夫林向乔安妮提出，如果她把妈妈带到这里来，就可以一起过圣诞节。,Joanne要回家了 她的父母几个月前分居了 她想和家人一起过圣诞节,45.65,35.56,43.48,73.09
132,劳尔的日子不好过。,"劳尔昨晚睡得不好,早上也不好 他从基佬开始,然后做他叔叔的怪梦",27.78,11.76,22.22,64.14
133,因为腹部剧烈疼痛，安琪一小时后要去见麦考密克医生。,"Angie胃痛得要命 她吃了些药,但毫无结果 Quinn女士在一小时后签了Angie 约McCormick医生",29.63,15.38,25.93,63.86
134,开尔文要和其他同学讨论cat 2的时间，随后很快就把他们的决定告诉纳希达。,Kelvin和Naheeda在统计课上将使用CAT 2。,13.33,4.65,13.33,53.94
135,凯伦想要比寿司更便宜的午餐。琳达、罗尼和凯伦会带盒装的外卖意大利面去公园。,"琳达,凯伦和罗尼 午餐要吃意大利面",57.14,29.79,32.65,74.89
136,马蒂觉得自己扭伤了脚踝，所以明天要去看医生。克里斯汀今天会去学校接马塞尔。明天克里斯汀会送马塞尔去学校，带马蒂看医生。马蒂会打电话给学校。克里斯汀和马蒂4点左右碰面。,克里斯蒂娜会在四点左右的学校接马塞尔 她明天早上会带他去看医生,41.51,25.0,32.08,75.7
137,佩顿希望卡梅隆能带游戏机过来，但是卡梅隆可能还要再缺席一周。,卡梅伦得再出城一周 佩顿要他带游戏给他,47.83,22.73,21.74,70.39
138,爱丽丝的求职面试就在明天，她会把进展情况告诉威利克斯的。,Alicia明天要面试工作,23.53,12.5,11.76,61.64
139,保罗忘记去做理疗了，得重新预约。艾玛午夜后回家，所以保罗会给她准备一些吃的。,艾玛午夜后会回家 保罗会给她准备一些食物,60.38,50.98,60.38,79.84
140,肖恩又睡过头了。,Sean又睡过头了,76.92,72.73,76.92,83.35
141,克里斯和汤姆计划在克里斯家见面。克里斯的花园里有个按摩浴缸。克里斯有wifi，可以把电视带到外面看。汤姆在爱尔兰以外的地方都没什么上网的限制。,克里斯邀请汤姆和他哥哥在花园里买个按摩浴缸 他们会带泳裤到客厅看电视 克里斯有WiFi,49.5,28.28,37.62,73.19
142,艾拉没有接哈利的电话。在哈利的请求下，辛迪给艾拉打了电话。,Cindy会打电话给Ela 告诉她Harry需要紧急谈话,23.26,4.88,18.6,57.56
143,迈克没时间遛狗，所以由亚当去。,迈克没有带狗去散步 亚当会带他一起走,46.67,21.43,40.0,72.34
144,墨菲星期二去波南，当天下午回来。,墨菲周二下午要去波阿南,64.0,26.09,48.0,80.56
145,盖亚这个学期有六门考试，其中一门非常难。,盖亚这学期有六次考试 只有一次很难,64.71,37.5,64.71,84.79
