,reference,prediction,rouge1,rouge2,rougeL,bs_f1_raw,bs_f1_rescaled
38,Riley and James watch Chloe on tv undergoing a metamorphosis.,Chloe is on tv. James has found it.,44.44,12.5,33.33,89.04,35.08
39,Tina will catch the evening flight back home. Ala is on her way to the meeting. She will let Tina know how it went.,Ala is on her way to a meeting. She will let Tina know how it went.,75.0,68.42,75.0,93.12,59.23
40,"Sebastian is very happy with his life, and shares this happiness with Kevin.","Sebastian and his partner moved here a year ago. Sebastian is satisfied with his decisions. Kevin wants to win the lottery, but he never did.",31.58,11.11,26.32,90.45,43.44
41,Son is coming to see his parents' this weekend.,Son will try to come home this weekend.,47.06,13.33,47.06,93.87,63.66
42,"Ola is in Cuba and is enjoying her trip. She has problems with connectivity there. Momo has recovered from her injury. Ola doesn't like the clothes in Cuba. Ola will try to find a blouse for mum in Cuba, as Kate suggested.",Ola and Momo are on a trip to Cuba. Momo has recovered from her injury and frolicking again. Ola lost her scarf in Laos. Kate suggests that Ola should buy a new one.,44.74,13.51,34.21,90.18,41.84
43,Mike will ask Mary for John's new number.,Mary gives Mike John's number.,66.67,15.38,53.33,93.57,61.9
44,Joseph has sent Ella a photo of Wujek Janek's twin baby cows. Ella is delighted.,Joseph sent Ella a photo of baby cows. Wujek Janek has twins.,78.57,46.15,57.14,95.71,74.58
45,Josh thinks Stephen accidentally took his notebook. Jack has it and will bring it tomorrow.,Stephen took Josh's notebook. Jack will bring it tomorrow.,72.0,34.78,64.0,95.38,72.62
46,"Adele got a new biscuit Labrador Chewy that is 4 months. Her cats keep their distance, and Poppy and Lulu seem to mother Chewy and Speedy wants to play.","Adele got a new 4-month-old biscuit lab. She called him Bones. The cats keep their distance, Poppy and Lulu seem to mother him. Speedy wants to play.",68.97,50.0,65.52,95.55,73.61
47,Kristian and Tabora are playing a game about what they like best.,Kristian and Tabora are playing games.,55.56,50.0,55.56,95.4,72.75
48,Cathy will pick up her glasses tonight at 10.,Cathy left her sunglasses at Broken's. She will come over at 10 tonight to pick them up.,59.26,8.0,29.63,92.9,57.94
49,"Petra is very sleepy at work today, Andy finds the day boring, and Ezgi is working. ","Petra is sleepy and needs to sleep, but nobody's working at the office today.",51.61,6.9,32.26,90.84,45.72
50,Nick finds Jane pretty and invites her for a drink to get to know her better. Jane rejects Nick and is unpleasant to him. Nick suggests Jane to forget about their conversation.,"Nick would like to meet up for a drink with Jane, but she's not that desperate.",24.49,8.51,20.41,89.3,36.62
51,"Julia knew Tim was gay, while Adam and Nate didn't. ",Tim is gay. Adam's friend saw Tim with a guy. Nate and Julia didn't know.,57.14,7.69,42.86,93.89,63.78
52,Lilly will be late. Gabriel will order pasta with salmon and basil for her.,"Lilly will be late, so Gabriel will order something for her.",72.0,52.17,72.0,95.02,70.49
53,"Celine is not at home, but she will call Cara before visiting her.",Celine will drop by Cara's place in the evening.,26.09,0.0,26.09,92.47,55.4
54,Derek will be at Craig's in 20 minutes to help him with his malfunctioning computer.,Derek will help Craig with his computer in 20 minutes.,76.92,33.33,46.15,94.72,68.71
55,Abigail is not going to take a stroll with the little ones. Her smog alert app is showing that the norms have been exceeded by 30% today.,"Emma wants to take a stroll with the little ones, but Abigail doesn't think it's a good idea as the smog alert app is showing that the norms have been exceeded by 30% today.",73.02,65.57,69.84,95.96,76.09
56,Paul will buy red roses following Cindy's advice.,Paul will get red roses.,57.14,33.33,57.14,94.58,67.88
57,Jenny has left her credit car at the Mary's shop.,Jenny left her credit card at Mary's shop. She will pick it up whenever she comes.,57.14,30.77,57.14,91.64,50.45
58,It's Tom's birthday. Lara and Gary will come to Tom's place about 5 pm to prepare everything before Tom gets back home at 5:30. Gary has already paid for the cake - Lara will pick it up and she will also get the balloons. ,Lara will come to Tom's birthday party at 5 pm. She will pick up the cake and get the balloons. Gary will pay for the cake.,62.16,41.67,40.54,92.99,58.45
59,Paul is late for a meeting with Laura and she refuses to wait any longer.,Paul is close to the Mac. Laura has been waiting 30 minutes for him. Paul is almost there. Laura is not waiting any more.,30.77,5.41,25.64,89.79,39.49
60,Salma and Hugh like cat memes.,Hugh and Salma like the latest cat meme.,71.43,0.0,42.86,96.33,78.25
61,"Todays results show that Matt and Oliver got into Stanford University, Peter did not. ","Matt and Oliver got into Stanford. Peter didn't get into Stanford, so he has to look for other university.",47.06,31.25,41.18,91.29,48.39
62,English classes were cancelled because Smith called in sick and replacement could not be found.,"Smith called in sick, so they don't have English today.",38.46,25.0,30.77,91.95,52.3
63,"Brandon has lost his credit card and blocked it in the bank. It will take some time before he gets a new one, and he needs money. Luke is broke, but Ian will lend Brandon some money.",Brandon lost his credit card. He blocked it in the bank but it will take time before he gets a new one. Luke and Ian will lend him $100.,81.82,53.12,72.73,95.44,73.01
64,Patrycja and Inez enjoyed the Italian evening. Gosia chose a great place. Alicja hasn't been to the new restaurant. They all want a Korean evening on Wednesday in two weeks time.,"Inez, Alicja, Gosia and Patrycja enjoyed their evening at the new restaurant Inez sent. They will go again on Wednesday.",50.0,12.0,34.62,90.13,41.52
65,Ana wants to visit grandma tomorrow. Catherine will go with her. She will call Anna when she wakes up.,Catherine will call Ana when she wakes up. Ana will visit her grandma tomorrow.,78.79,38.71,42.42,94.44,67.04
66,Edson is booking his ticket now.,Edson is booking his ticket now.,100.0,100.0,100.0,100.0,100.0
67,Jane wants to leave at 4.30 instead of 5 because Google Maps suggests the 300 km drive should take them at least 3 hours and she doesn't want to be late. She will wait for Steven at the main entrance.,Jane and Steven will meet at 4:30 instead of 5.,37.74,19.61,26.42,90.2,41.96
68,Suzanne is at work and is having a break now. Morgan invites Suzanne to a concert of Maroon 5 which takes place next week at the Hulu Theatre at Madison Square Garden. Suzzanne agrees.,Morgan and Suzanne are going to a Maroon 5 concert next week. Morgan has two tickets.,40.0,12.5,32.0,89.56,38.17
69,The last one Julia read was Die again from 2014. There's going to be a meeting with Tess organized by the city library. ,Liam sent Julia a file with a book from 2014. The city library is organizing a meeting with Tess. Julia will check it out on their facebook.,39.22,24.49,27.45,91.21,47.94
70,Ali left his wallet at Mohammad's place. Mohammad'll bring it to uni tomorrow.,Ali left his wallet at Mohammad's place yesterday. Mohammad will bring it to uni tomorrow.,90.32,75.86,90.32,99.21,95.32
71,Linda and Laura are going to an Italian restaurant tomorrow.,Laura and Linda will go to an Italian restaurant to eat pasta and brownie tomorrow.,64.0,26.09,48.0,94.97,70.19
72,Anna organises a birthday's party on the 6th of November at 19:30.,"Natalie, Martin, Margot, Mia and Adam are going to Anna's birthday party on 6th of November at 1930.",57.14,30.3,51.43,89.93,40.33
73,"Mia is going out after work tonight with her female friends. If she wants, Elliot will come and pick her up.",Mia and Elliot are going out for drinks after work tonight.,50.0,20.0,37.5,93.31,60.35
74,Jayden explains Brennan why she doesn't want to be pregnant.,Jayden doesn't want to have children now. He wishes he could just have sex and wait for a baby while having a normal life.,27.78,17.65,27.78,89.75,39.27
75,USA won last night. England is playing against Croatia tomorrow at 2.,Steve and Gulab are discussing football. USA won last night. England and Croatia are playing tomorrow at 2:00.,64.52,41.38,58.06,93.65,62.37
76,John forgot his wallet. He wants Ela to give it to him outside in 10 minutes.,John is coming in 10 minutes and wants Ela to give him his walle. Ela's phone is busy.,57.14,30.3,34.29,90.94,46.34
77,Mark told his sister that Mary is doing an online job. Mark's sister is contacting people to confirm it. Mark thinks she's jealous. Mary hates Mark's sister.,Mark told his sister that Mary is doing an online job. She is very jealous. She tries to contact the people Mary works for.,62.96,38.46,51.85,93.99,64.38
78,Fiona wants to prepare dinner for Chris. She is thinking of Tina's tart. She will help her make it.,Fiona will prepare a tart for Chris. Tina will help her.,58.06,20.69,51.61,94.64,68.23
79,Annette is sick. James is going to the Jesus bar. Oli couldn't find anyone near the bar.,"Peadar, James, Anne and Helen are going for a drink at Jesus bar. Annette is sick, so she can't join them. Oli cycled around the bar, but couldn't find anyone.",56.0,29.17,36.0,92.18,53.64
80,Ryan and Sebastian are worried about the political situation in Ukraine.,Ryan and Sebastian are worried about the situation in Ukraine.,95.24,84.21,95.24,98.73,92.45
81,Finn and Zadie are going to Elephant and Castle tomorrow at 2. They will meet at the main entrance.,Finn and Zadie are going to the Elephant and Castle shopping centre tomorrow. They will meet at 2 o'clock at the main entrance.,88.37,68.29,79.07,96.78,80.9
82,Jacob hasn't listened to the song Harry sent him 3 days ago. Jacob will do it later tonight and let Harry know what he thinks.,Harry sent Jacob a song 3 days ago. Jacob will listen to it later tonight.,63.41,35.9,48.78,94.36,66.58
83,Ray is locked in the room from the outside and he has to pee. Max's roommate will come and let him out.,"Someone locked the door from outside, so Max can't let Ray out. Max will ask his roommates to open the door for him.",51.06,0.0,29.79,92.01,52.67
84,"Kim is about to tell mom that Harry bought a new sofa, and he needs grey pillows.",Harry has just bought a new sofa and he needs pillows. Kim will tell his mom that grey is the best colour.,76.92,37.84,46.15,94.23,65.83
85,"Josh wants to buy a tablet and doesn't know which brand he should choose. According to Brian, other brands are better than Apple and he can get a Samsung tablet cheaper. Josh will call Brian after work to talk about it.","Josh needs to buy an iPad. Brian recommends Samsung, Xiaomi and Sony. If Josh wants Samsung, Brian will get it cheaper for him.",40.0,6.35,24.62,90.78,45.35
86,"Nathalie, Olafur and Zoe are planning the New Year's Eve. Nathalie wants something classy. Olafur doesn't like opera. They want to go to the Breakfast at Tiffany's party in Soho.",Nathalie and Olafur will go to Soho for New Year's Eve.,44.44,18.6,26.67,92.09,53.13
87,Frank tries to encourage Andy to learn for the tomorrow's quiz.,Andy has a quiz tomorrow.,35.29,0.0,23.53,92.05,52.88
88,Kim needs to get some fresh fish in Warsaw. Kim will ask at restaurants about their source. Kim is planning something special but won't share any details with Margot for now.,"Kim is looking for a place where she can buy fresh ramal fish in Warsaw. Margot suggests the marketplace at Polna street, restaurants' menus and asking about their source. Kim will grill the fish for a special occasion.",45.71,20.59,34.29,89.81,39.63
89,Tom will meet Ben in the Oval Room at 2pm and tells him to bring the papers. ,Tom and Ben are going to fight at 2 pm in the Oval Room.,68.75,33.33,37.5,93.82,63.4
90,Ashleigh got the job.,Ashleigh got a job. She and Peter are going to the cinema.,50.0,14.29,37.5,93.48,61.36
91,Danna has a boring weekend and is watching TV. Reed is in bed. He has a free day tomorrow.,"Danna's Saturday was boring. She called 5-8 of her friends, but they were busy or unavailable. Danna doesn't have a tv, because their subscription expired and they never renewed it. Reed is in bed. He's off tomorrow.",36.67,13.79,30.0,90.57,44.11
92,Alivia has been taciturn lately. She was trying to write her thesis. She can't focus on writing. She'll try to follow Antonio's advice to start writing without overthinking.,"Alivia is working on her thesis. She has problems finding research materials. She finds the topic interesting and all, but when she's supposed to write, she blank out and can't type a single word.",38.81,12.31,23.88,88.83,33.83
93,Maddie will buy a white bread and apples on John's request.,Maddie is in Asda. John will buy white bread and apples.,69.57,38.1,60.87,93.76,63.03
94,"Elliot can't talk to Jordan now, he's busy. He'll call him back at 8 pm. Jordan is going to Brad's funeral. He had liver cancer.",Jordan is going to Brad's funeral. Elliot will call Jordan at 8 pm tonight.,59.09,38.1,31.82,92.74,56.96
95,Flo cannot get an appointment at the salon until the 6th. Flo worries she's going to be gray. Flo will have to get a touch-up kit at Tesco.,Flo can't get into the salon until the 6th. She's going to be gray. Gina will get her a touch-up kit at Tesco.,75.86,53.57,75.86,95.59,73.86
96,"Rob is doing shopping at the grocery store. Ann ordered him to buy a cucumber, some tomatoes, bananas and apples.",Rob is at the grocery store. Ann can't join him because she has a meeting. Rob will buy some fruit and vegetables.,55.81,24.39,51.16,92.37,54.8
97,It's been very long since Melany last had sex. Marvin made an inappropriate joke about it.,Melany doesn't remember the last time she got laid.,14.81,0.0,14.81,90.33,42.72
98,"Eric, Samantha and Noah's professor is commenting a recent scandal on the news. ","Noah is the smartest person alive, so he knew this will happen.",23.08,0.0,23.08,85.86,16.23
99,"According to Jacky, David did the right thing taking the blame. They will talk when Jack comes back home.",Jacky will call David when she gets home.,37.04,0.0,29.63,91.17,47.71
100,Rick and Helen are in Cancun. They're flying to Havana in two days. Chris and Rick will talk on Skype at 3 PM in Mexico.,Rick and Chris are in Cancun for their last two days before flying to Havana. They will Skype tomorrow at 3 pm Chris' time.,68.0,33.33,52.0,93.75,62.94
101,"Ying sent a photo of his 10 years challenge to Helen, Norma and Zazu.",Ying has 10 years of experience.,40.0,11.11,30.0,89.34,36.83
102,Daniel will see Missy after 6 for drinks.,Missy gets out of work at 6. She and Daniel will have drinks after dinner.,52.17,9.52,26.09,92.63,56.34
103,Adelle has to clean the hamster cage after school.,Adelle will clean the hamster cage after school.,82.35,66.67,82.35,98.56,91.48
104,Maya will buy 5 packs of earplugs for Randolph at the pharmacy.,Maya will buy earplugs for Randolph at the pharmacy.,85.71,73.68,85.71,97.86,87.32
105,David is coming home for Christmas next week.  Jane has no idea what to buy their father so David is going to order an ipad online.,David is coming home for Christmas next week. He will order an ipad for his dad and have it shipped home.,46.81,40.0,46.81,92.9,57.93
106,"Isabella is grateful to Betty for sharing the information about her work yesterday. Isabella offers Betty her company, should Betty want to do something together.",Isabella enjoyed listening to Betty's work yesterday. Isabella wants to do something together with Betty.,53.66,30.77,48.78,91.69,50.76
107,"Hollie says hello to Amy, but Amy is busy working and can't chat right now.",Amy will get back to Hollie later.,26.09,0.0,8.7,87.74,27.36
108,Alex will go swimming toghether with Huda in two hours. ,Huda and Alex are going swimming in 2 hours.,52.63,0.0,42.11,93.84,63.49
109,"Janet, Nicole, Alison, Arlene, Leslie, Ros, Eric and Sue are all complaining about Donald Trump and his absence at the ceremony. ","Janet is ashamed of Donald Trump, because he didn't come to the ceremony.",28.57,12.12,28.57,89.7,38.99
110,Rashi is confused by too many career choices. Teacher advises him to choose something he has passion for and what interests him.,Rashi is confused about his career options. Teacher advises him to choose a career based on what interests him.,58.54,41.03,58.54,95.73,74.67
111,Corbin reported to the department in charge of school violence that his friend has been beaten.,Corbin wants to report school violence in Jungang high school. The student who is the victim of the violence is his friend. Dimitri will call Corbin now.,41.86,9.76,32.56,90.07,41.15
112,"Marta needs help with the PC. On Joel's advice, she will contact Cynthia or Elena as they might know someone. ","Marta is looking for a technician to fix PC's. Pablo is on vacation this week, so she will ask Cynthia or Elena.",40.91,14.29,36.36,90.44,43.35
113,Ann doesn't know what she should give to her dad as a birthday gift. He's turning 50. Fiona tries to help her and suggests a paintball match.,"Ann is planning a surprise birthday party for her dad, who is turning 50. She was planning dinner with the whole family, but that's not enough. Fiona suggests some team play, bungee jumping or parachute jump, horse riding or paintball.",34.29,5.88,22.86,90.4,43.13
114,Fatima is worried about Jenson and Alene. Alene has issues. Lincoln doesn't want Fatima to worry about others too much.,Jenson is not happy with Alene. Alene is depressed and won't go to the doctor. Fatima is worried about Alene and Jenson breaking up.,43.48,18.18,26.09,91.41,49.08
115,"Bob is going to help Lisa clean the house, he will clean the bathroom. ",Lisa wants Bob to clean the house. Bob helped make it dirty.,46.15,16.67,38.46,92.19,53.71
116,luke and martial want to help the team and play despite their injuries. They will meet at carrington and go to the coach's office.,Luke and Martial will go to Jose's office to let him know they are available for team selection tomorrow.,48.89,18.6,35.56,89.52,37.92
117,Emily and Julie wish Merry Christmas to each other.,Julie wishes Emily a merry Christmas.,53.33,15.38,40.0,94.98,70.25
118,Ricky's new neighbours are nice but loud. They own a parakeet that makes a lot of noise throughout the night.,Ricky doesn't like his new next door neighbors.,13.33,0.0,13.33,90.97,46.5
119,Sandra and Brenda used to work together in the clothes factory 25 years ago. Sandra still lives in Kings Norton. Brenda lives in Stoke now. Her husband Bill died 5 years ago. They will meet in Birmingham for a lunch next Saturday about 11. They want to organize a reunion for the Lister's girls. ,"Brenda and Sandra used to work together in the clothes factory. Brenda lives in Stoke now, moved away from Brum in the late 90s. Sandra lives in Kings Norton with her husband. Sandra has 4 grandchildren, ages 2, 4, 9 and 15. Brenda's husband Bill died 5 years ago. Brenda and Sandra will meet next Saturday at 11.",62.61,38.94,45.22,91.68,50.69
120,"Joan and John are going to watch ""A Star is Born"" on Thursday around 8 p.m.","John and Joan are going to see ""A Star is Born"" on Thursday around 8 pm.",84.85,58.06,72.73,97.87,87.38
121,Donna will pay George a visit tonight to discuss a personal matter.,George wants to meet with Donna tonight to discuss a delicate matter.,58.33,27.27,50.0,94.45,67.14
122,Louis finishes the conversation with Fabian because his mother is calling.,Louis has to go because his mom is calling him.,47.62,21.05,47.62,94.09,64.98
123,Irene will take Crystal's son shopping for clothes.,Irene is going shopping with her little boy.,23.53,0.0,23.53,93.42,61.0
124,Tony sent a photo of his cat to Amy and Lucas.,Tony sent Amy and Lucas a photo of a cat.,85.71,52.63,57.14,96.99,82.14
125,"Matt got a ticket for Dawid Podsiadlo's concert. Thomas is going, too.",Matt got his ticket for Dawid Podsiadlo. He will see Thomas and Maria there.,51.85,32.0,51.85,94.68,68.5
126,Some girls had to undress because they had been pushed into the pool.,Chris pushed some girls into the pool.,60.0,33.33,50.0,93.13,59.32
127,Mico and Jeff will go to the village party. Jeff will drive.,"Jeff, Lia and Mico are going to the village party.",63.64,30.0,45.45,95.13,71.17
128,Paul can couch the game on Saturday as Matthew hasn't found anyone to do that yet. ,Paul will couch the game on Saturday.,50.0,36.36,50.0,90.89,46.05
129,Freddy will pick Luke up at about 3:15 pm.,Fred will pick Luke up at 3:15. Jacob is at work till 5.,58.33,45.45,58.33,94.47,67.25
130,Ryan and Jack are going to the casting for a dance show.,Jack will go to the casting with Ryan.,50.0,22.22,40.0,93.93,64.05
131,Joanne is going to go back home to France for the holidays. She's going to cheer her mum up because her parents separated a few months ago. Evelyn offers Joanne to spend Christmas together if she brings her mum over here. ,"Evelyn will stay at home and rest for the holidays. Joanne is going back home. Her parents separated a few months ago. She wants to spend Christmas with her family, but her mother is depressed.",57.14,34.67,41.56,92.06,52.98
132,Raul's had a bad night and day. ,Raul had a bad night last night and a bad morning. He started off with a fag and then he had weird dreams of his uncle.,35.29,25.0,35.29,90.57,44.13
133,Angie's having an appointment with Doctor McCormick in an hour. She has strong abdominal pain.,Angie has severe stomach pain. She took some pills but to no avail. Ms. Quinn has signed Angie up for an appointment with Doctor McCormick in an hour.,54.55,33.33,40.91,94.4,66.81
134,Kelvin and the other class members will discuss the time for their CAT 2 and share their decision with Naheeda soon.,Kelvin and Naheeda will have their CAT 2 during the statistics class.,54.55,19.35,36.36,92.51,55.61
135,"Karen wants something cheaper than sushi for lunch. Linda, Ronnie and Karen will get takeout pasta boxes to the park.","Linda, Karen and Ronnie are going to eat pasta for lunch.",51.61,6.9,19.35,92.31,54.41
136,Marty thinks she has sprained her ankle. Marty wants to go to the doctor tomorrow. Christine will pick up Marcel from school today. Tomorrow Christine will take Marcel to school and Marty to the doctor. Marty will call the school. Christine and Marty will meet around 4. ,Christine will pick up Marcel from school around 4. She will take him to the doctor tomorrow morning.,49.23,34.92,36.92,91.8,51.43
137,Peyton is expecting Cameron to bring the video game. Cameron will probably be out for another week.,Cameron will have to stay out of town for another week. Peyton wants him to bring the video game for him.,63.16,38.89,36.84,92.18,53.68
138,Alicja's job interview is tomorrow. She will inform Willyx how it goes.,Alicja has a job interview tomorrow.,42.11,11.76,42.11,93.69,62.61
139,"Paul forgot about his physiotherapy and he will schedule a new appointment. Emma will be home after midnight, so Paul will prepare some food for her.",Paul forgot about his physiotherapy appointment. Emma will be home after midnight. Paul will prepare some food for her.,84.44,74.42,84.44,97.14,83.07
140,Sean overslept again.,Sean overslept again.,100.0,100.0,100.0,100.0,100.0
